1 - | Kصحيح
19 - | S [ش (أهناه وأهداه وأتقاه) " اهنأ " في الأصل بالهمزة اسم تفصيل من هنأ الطعام إذا ساغ أو جاء بلا تعب ولم يعقبه بلاء لكن قلبت همزته ألفا للازدواج والمشاكلة. وأتقى اسم تفضيل من الاتقاء على الشذوذ لأن القياس بناء اسم التفضيل من الثلاثي المجرد وهو مبني على توهم أن التاء حرف أصلي] .Kضعيف منقطع
20 - | Kصحيح
21 - | S [ش (ما يحدث) " ما " مصدرية. و " يحدث " من التحديث على بناء المفعول أي أن يحدث (فيقول) أي في رده. (اقرأ قرآنا) أي يقول للراوي اقرأ قرآنا حتى نعرف صدق هذا الحديث من كذبه. (ما قيل من قول) هذا من قوله صلى الله عليه وسلم. ذكره ردا على المتكئ بأن رد المتكئ لقوله صلى الله عليه وسلم مردود عليه] .Kمنكر
22 - | S [ش (قال لرجل) هو ابن عباس. حين روى عنه الوضوء مما مسته النار فقال له ابن عباس أنتوضأ من الحميم أي الماء الحار. أي ينبغي على مقتضى هذا الحديث أن الإنسان إذا توضأ بالماء الحار أن يتوضأ ثانية بالماء البارد. فرد عليه أبو هريرة بأن الحديث لا يعارض بمثل هذه المعارضات المدفوعة بالنظر. فإن المراد أن " أكل " ما مسته النار يوجب الوضوء لا " مسه "] .Kحسن، ويأتي بأتم 485
23 - | Zهذا الحديث قد انفرد به المصنف. وفي الزوائد إسناده صحيح احتج الشيخان بجميع رواتهS [ش (ما أخطأني ابن مسعود) أي ما فاتني لقائه إلا أتيته. (إلا أتيته فيه) الضمير للعشية باعتبار الوقت. أي لا يفوته الملاقاة حال إتيانه إياه. (بشيء) أي في شيء. (ذات عشية) بالنصب أي كان الزمان ذات عشية. أو بالرفع و " كان " تامة. ولفظ " الذات " مقحم. (اغرورقت) أي دمعتا كأنهما غرقتا في دمعهما. و " اغرورق " من " غرق " ك " اخشوشن " من " خشن "] .Kصحيح
24 - | S [ش (أو كما قال) تنبيها على أن ما ذكره نقل بالمعنى. وأما اللفظ فيحتمل أن يكون هو اللفظ المذكور ويحتمل أن يكون لفظا آخر.Kصحيح
25 - | Kصحيح
26 - | Kصحيح
27 - | S [ش (إنا كنا نحفظ الحديث) أي نأخذه عن الناس ونحفظه اعتمادا على صدقهم. (والحديث يحفظ) أي هو حقيق أن يعتنى به. (ركبتم الصعب والذلول) كناية عن الإفراط والتفريط في النقل بحيث ما بقي الاعتماد على نقلهم. (فهيهات) أي بعد أخذهم والحفظ اعتمادا عليهم] .Kصحيح
28 - | Zالحديث من أفراد المصنفS [ش (صرار) موضع قرب المدينة. (هزيز) صوت. (المرجل) إناء يغلى فيه الماء سواء كان من نحاس وغيره. وله صوت عند غليان الماء فيه. (مدوا إليكم أعناقهم) أي للأخذ عنكم وتسليما للأمر إليكم وتحكيما لكم فألقوا الرواية] .Kصحيح
29 - | Kصحيح
30 - | S [ش (متعمدا) أي قاصدا الكذب علي لغرض من الأغراض. لا أنه وقع فيه خطأ أو سهوا. (فليتبوأ مقعده من النار) أي فليتخذ منزله منها. يقال تبوأ الدار إذا اتخذها سكنا. قيل إنه دعاء بلفظ الأمر أي بوأه الله ذلك. وقيل خبر بلفظ الأمر ومعناه قد استوجب ذلكقال ابن الصلاح حديث " من كذب علي " متواتر. فان ناقله من الصحابة جم غفير. قيل اثنان وستون منهم العشرة المبشرة. وقيل لا يعرف حديث اجتمع عليه العشرة إلا هذا.Kصحيح
31 - | S [ش (يولج) أي يدخل كل من تلبس به. ولو بدلالة عليه والرواية له] .Kصحيح
32 - | S [ش (حسبته قال متعمدا) من الحسبان بمعنى الظن. والجملة بين الشرط والجزم] .Kصحيح
33 - | Kصحيح
34 - | S [ش (تقول) يدل على أن التكلف يغني عن قيد " التعمد "] .Kحسن صحيح
35 - | S [ش (حقا أو صدقا) كلمة " أو " للشك] .Kحسن
36 - | Kصحيح
37 - | Kصحيح
38 - | S [ش (أحد الكاذبين) المراد أن الراوي له يشارك الواضع في الإثم] .Kصحيح
39 - | Kصحيح
40 - | S [ش (محمد بن عبد الله) وفي النسخة الهندية محمد بن عبدك. وقال في هامشها الكاف في " عبدك " علامة التصغير في اللغة الفارسية] .Kصحيح
41 - | Kصحيح
42 - | S [ش (ذات يوم) لفظة " ذات " مقحمة. (بليغة) من المبالغة. أي بالغ فيها بالإنذار والتخويف. (وجلت) كسمعت أي خافت. (وذرفت) أي سالت. وفي إسنادها إلى العيون مع أن السائل دموعها مبالغة. والمقصود أنها أثرت فيهم ظاهرا وباطنا. (وان عبدا حبشيا) أي وإن كان الأمير عبدا حبشيا. (الخلفاء الراشدين) قيل هم الأربعة رضي الله عنهم. وقيل بل هم ومن سار سيرتهم من أئمة الإسلام. فانهم خلفاء الرسول عليه الصلاة والسلام في إعلاء الحق وإحياء الدين وإرشاد الخلق إلى الصراط المستقيم. (النواجذ) الأضراس. قيل أراد به الجد في لزوم السنة كفعل من امسك الشيء بين أضراسه وعض عليه منعا من أن ينتزع. أو الصبر على ما يصيب من التعب في ذات الله. كما يفعل المتألم بالوجع يصيبه] .Kصحيح
43 - | S [ش (على البيضاء) أي الملة والحجة الواضحة التي لا تقبل الشبه أصلا. (فإنما المؤمن) أي شأن المؤمن من ترك التكبر والتزام التواضع. (الأنف) أي الذي جعل الزمام من أنفه. فيجره من يشاء من صغير وكبير إلى حيث يشاء. (حيثما قيد) أي سيق] .Kصحيح
44 - | Kصحيح
45 - | S [ش (كأنه منذر جيش) هو الذي يجيء مخبرا للقوم بما قد دهمهم من عدو أو غيره. (يقول) ضميره عائد للمنذر والجملة صفته. (صبحكم) أي نزل بكم العدو صباحا. والمراد سينزل. وصيغة الماضي للتحقق. (ومساكم) مثل صبحكم. (أنا والساعة) لا يجوز فيه إلا النصب. والواو فيه بمعنى " مع " والمراد به المقاربة. (كهاتين) أي مقترنين. لا واسطة بيننا من نبي. (خير الأمور) أي خير ما يتعلق به المتكلم. أو خير الأمور الموجدة بينكم. (الهدى) الطريقة والمسيرة. (وشر الأمور) المراد من شر الأمور. وإلا فبعض الأمور السابقة مثل الشرك شر من كثير المحدثات. (محدثاتها) المراد بها ما لا أصل له في الدين مما أحدث بعده صلى الله عليه وسلم. (ضياعا) أي عيالا. (فعلي وإلي) قال السيوطي فيه لف ونشر مرتب. ف - " علي " راجع إلى الدين. و " إلي " راجع إلى الضياع.Kصحيح
46 - | S [ش (إنما هما اثنتان) ضميرها منهم مفسر بالكلام والهدى. أي إنما الكتاب والسنة اللذان وقع التكليف بهما اثنتان لا ثالث معهما. (ألا لا يطولن عليكم الأمد) الأمد هو الأجل. أي لا يلقي الشيطان في قلوبكم طول البقاء فتقسو أي تغلظ قلوبكم. (كفر) أي من شأن الكفر. (فسوق) أي من شأن الفسقة. (لا يصلح) أي لا يوافق شأنه المؤمن بالجد أي بطريق الجد. (والبر) قيل هو اسم جامع للخير. وقيل هو العمل الخاص من كل مذموم]Kضعيف
47 - | Kصحيح
48 - | Kحسن
49 - | Kموضوع
50 - | Zفي الزوائد رجال إسناد هذا الحديث كلهم مجهولون. قاله الذهبي.Kضعيف
51 - | Zهذا الحديث أخرجه الترمذي وقال هذا حديث حسنS [ش (في ربض الجنة) أي حوالي الجنة وأطرافها لافي وسطها. (المراء) الجدال] .Kسنده ضعيف
52 - | S [ش (انتزاعا) أي محوا من الصدور. وهو مصدر ل - " يقبض " من غير لفظه لبيان النوع. نحو رجع القهقرى] .Kصحيح
53 - | S [ش (أفتي) أي من وقع في خطأ بفتوى عالم فلا إثم على متبع ذلك العالم. (ثبت) في المصباح رجل ثبت إذا كان عدلا ضابطا] .Kحسن
54 - | S [ش (فهو فضل) أي زائد لا ضرورة لمعرفته. (آية محكمة) أي غير منسوخة. (سنة قائمة) أي ثابتة إسنادا. بأن تكون صحيحة. أو حكما بأن لا تكون منسوخة. (فريضة عادلة) المراد بالفريضة كل حكم من أحكام الفرائض يحصل به العدل في أقسام التركات بين الورثة] .Kضعيف
55 - | Zهذا المتن مما انفرد به المصنف.Kموضوع
56 - | Zفي الزوائد إسناده ضعيفS [ش (سبايا الأمم) جمع سبية وهي المرأة المنهوبة. فعيلة بمعنى مفعولة] .Kضعيف
57 - | S [ش (بضع) البضع والبضعة. بكسر الباء وحكي فتحها القطعة من الشيء. وهو في العدد ما بين الثلاث إلى التسع. (أدناها) أي أدونها مقدارا. (اماطة الأذى) اماطة الشيء عن الشيء ازالته عنه واذهابه. (الحياء) لغة هو تغير وانكسار يعتري المرء خوف ما يعاب به. وفي الشرع خلق يبعث على اجتناب القبيح ويمنع من التقصير في حق ذي الحق. (شعبة من الإيمان) الشعبة غصن الشجرة وفرع كل أصل. والتنكير فيها للتعظيم. أي شعبة عظيمة] .Kصحيح
58 - | S [ش (يعظ أخاه في الحياء) أي يعاتب عليه في شأنه ويحثه على تركه] .Kصحيح
59 - | Kصحيح
60 - | Kصحيح
61 - | Zفي الزوائد إسناد هذا الحديث صحيح. رجاله ثقاتS [ش (حزاورة) جمع الحزور وهو الغلام إذا اشتد وقوي وحزم] .Kصحيح
62 - | Zهذا الحديث أخرجه الترمذي وقال حسن غريب.Kضعيف
63 - | S [ش (أن تلد الأمة ربتها) أي أن تحكم البنت على الأم من كثرة العقوق حكم السيدة على أمتها. ولمل كان العقوق في النساء أكثر خصت البنت والأم بالذكر. (العالة) جمع عائل بمعنى الفقير] .Kصحيح
64 - | S [ش (بارزا للناس) أي ظاهرا لأجلهم حتى يسألوه وينفع كل من يزيد. (أشراطها) علاماتها. (في خمس) أي وقت الساعة في خمس لا يعلمهن إلا الله. فهو خبر محذوف] .Kصحيح
65 - | Zفي الزوائد إسناد هذا الحديث ضعيف لاتفاقهم على ضعف أبي الصلت الراويS [ش (معرفة بالقلب) أي التصديق به. (وقول باللسان) هما الشهادتان. (وعمل بالأركان) أي الجوارح كالصلاة والصوم والزكاة والحج. (لبرأ من جنونه) لما في الإسناد من خيار العباد. وهم خلاصة أهل بيت النبوة رضي الله تعالى عنهم] .Kموضوع
66 - | Kصحيح
67 - | Kصحيح
68 - | S [ش (لا تدخلوا الجنة) نفي لانهي. وكذا قوله ولا تؤمنوا فالقياس ثبوت النون فيهما. فكأنها حذفت للمجانسة والازدواج وقد جاء حذفها للتخفيف كثيرا. (تحابوا) أصلها تتحابوا أي يحب بعضكم بعضا. (أفشوا السلام) أي أظهروه. والمراد نشر السلام بين الناس] .Kصحيح
69 - | Kصحيح
70 - | Zفي الزوائد هذا إسناد ضعيفS [ش (هرج الأحاديث) كثرتها واختلاطها] .Kضعيف
71 - | Kصحيح متواتر
72 - | Kصحيح متواتر
73 - | Kضعيف
74 - | Zفي الزوائد إسناد هذا الحديث ضعيف.Kضعيف جدا
75 - | Kضعيف
76 - | S [ش (يجمع خلق أحدكم) أي يجمع مادة خلقه وهو الماء أي يتم جمعه. (في بطن أمه) أي رحمها. (شقي أم سعيد) خبر محذوف أي هو. (الكتاب) أي المكتوب الذي كتبه الملك] .Kصحيح
77 - | S [ش (شيء من هذا القدر) أي لأجل هذا القدر أي القول به. يريد أنه وقع في نفسه من الشبه لأجل القول بالقدر (ليخطئك) أي يتجاوز عنك فلا يصيبك. بل لابد من اصابته] .Kصحيح
78 - | S [ش (فنكت في الأرض) أي ضربها ضربا أثر فيها. (ومقعده من النار) الواو بمعنى " أو " (أفلا نتكل) أي العمل لا يرد القضاء والقدر السابق فلا فائدة فيه. فنبه على الجواب عنه بأن الله تعالى دبر الأشياء على ما أراد وربط بعضها ببعض وجعلها أسباب ومسببات. ومن قدره من أهل الجنة قدر له ما يقر به إليها من الأعمال ووفقه لذلك باقداره ويمكنه منه ويحرضه عليه بالترغيب والترهيب. ومن قدر له أنه من أهل النار قدر له خلاف ذلك وخذله حتى اتبع هواه. والحاصل أنه جعل الأعمال طريقا إلى نيل ما قدر له من جنة أو نار فلا بد من المشي في الطريق. وبواسطة التقدير السابق يتيسر ذلك المشي لكل في طريقه. ويسهل عليه] .Kصحيح
79 - | Kحسن
80 - | S [ش (احتج آدم وموسى) أي تحاجا. (خيبتنا) أي جعلتنا خائبين محرومين. (فحج) أي غلب عليه بالحجة بأن ألزمه بأن العبد ليس بمستقل بفعله ولا متمكن في تركه بعد أن قضى عليه من الله تعالى. وما كان كذلك لا يحسن اللوم عليه عقلا] .Kصحيح
81 - | Kصحيح
82 - | S [ش (طوبى) قيل هو اسم الجنة أو شجرة فيها أو أصلها. فعلى من الطيب. وفسرت بالمعنى الأصلي. فقيل أطيب معيشة له. وقيل فرح له وقرة عين. (ولم يدركه) آي لم يدرك أوانه بالبلوغ. (أو غير ذلك) آي بل غير ذلك أحسن وأولى وهو التوقف] .Kصحيح
83 - | S [ش (في القدر) أي في إثبات القدر] .Kصحيح
84 - | Zفي الزوائد إسناد هذا الحديث ضعيف.Kضعيف
85 - | Zفي الزوائد هذا إسناد صحيح رجاله ثقاتS [ش (فكأنما يفقأ في وجهه حب الرمان) أي فغضب فاحمر وجهه من أجل الغضب احمرارا يشبه فقئ حب الرمان في وجهه. (أو لهذا خلقتم) أي هذا البحث على القدر والاختصام فيه هل هو المقصود من خلقكم أو هو الذي وقع التكليف به حتى اجترأتم عليه؟ يريد أنه ليس بشيء من الأمرين فأي حاجة إليه؟ (ما غبطت نفسي) أي ما استحسنت فعل نفسي] .Kحسن صحيح
86 - | Zفي الزوائد هذا إسناد ضعيفS [ش (لا عدوى) العدوى مجاوزة العلة من صاحبها إلى غيره بالمجاورة والقرب. (ولا طيرة) بفتح الباء وقد تسكن. التشاؤم بالشيء. وأصله أنهم كانوا في الجاهلية إذا خرجوا لحاجة فإن رأوا الطير طار عن يمنهم فرحوا به واستمروا. وإذا طار عن يسارهم تشاءموا به ورجعوا] .Kصحيح دون قوله ذلكم القدر
87 - | Zفي الزوائد هذا إسناد ضعيفS [ش (تسلم) من السلامة أي تكن سالما من الخلود في النار] .Kضعيف جدا
88 - | Kصحيح
89 - | Zفي الزوائد إسناده صحيحS [ش (أعزل عنها) أي يجوز لي العزل عنها أم لا؟ والعزل هو إلانزال خارج الفرج. (إلا هي كائنة) أي النفس كائنة أي عليه. أي على ذلك الشيء المقدر لها] .Kصحيح
90 - | Zفي الزوائد سألت شيخنا أبا الفضل القرافي عن هذا الحديث فقال حسنKحسن دون وإن الرجل
91 - | Zفي الزوائد في إسناد مقالS [ش (العمل فيما جف) بتقدير حرف الاستفهام. أي هل العمل معدود فب جملة القدر المكتوب الذي فرغ القلم من كتبه حتى جف أم هو معدود في جملة ما يستقبله الفاعل بفعله. أي لم يسبق له قضاء] .Kصحيح
92 - | Kحسن دون جملة التسليم
93 - | S [ش (إني أبرأ) من " برئ " بمعنى أتبرأ. (خلته) الخلة الصداقة والمحبة التي تخللت قلب المحب وتدعو إلى اطلاع المحبوب على سره. والخليل فعيل بمعنى المحتاج إليه] .Kصحيح
94 - | Zإسناده إلى أبي هريرة فيه مقال لأن سلمان بن مهران الأعمش يدلس وكذا أبو معاوية. إلا أنه صرح بالتحديث. فزال التدليس. وباقي رجاله ثقات. أهـ من الزوائد.Kصحيح
95 - | Zالحديث قد جاء بوجوه متعددة عن علي وغيره. ذكر الترمذي وقد حسنه من بعض الوجوهS [ش (سيد الكهول) الكهل من خالطه الشيب. والمعنى هما سيدا من مات كهلا وإلا ليس في الجنة كهل] .Kصحيح
96 - | S [ش (من أسفل منهم) " من " موصولة " وأسفل " منصوب على الظرفية أي الذين هم في مكان أسفل من مكانهم. (وأنعما) من " أنغم " إذا زاد. أي زادا على الرتبة والمنزلة أو من " أنعم " إذا دخل في النعيم] .Kصحيح
97 - | Kصحيح
98 - | S [ش (اكتنفه) أي أحاطوا به. (فلم يرعني) قال في إلاساس وما راعني إلا مجيئك بمعنى ماشعرت إلا به. (مع صاحبيك) أي مع النبي صلى الله عليه وسلم وأبي بكر رضي الله عنه. (أكثر) بالرفع علىأنه مبتدأ ممحذوف الخبر. من قبيل " أخطب ما يكون الأمير " والجملة خبر " كنت "]Kصحيح
99 - | Kضعيف
100 - | Kصحيح
101 - | Kصحيح
102 - | Kصحيح
103 - | Zفي الزوائد إسناده ضعيف لاتفاقهم على ضعف عبد الله بن خراش. إلا أن ابن حبان ذكره في الثقات وأخراج هذا الحديث من طريقة في صحيحه.Kضعيف جدا
104 - | Zفي الزوائد إسناد ضعيف. فيه داود بن عطاء المديني وقد اتفقوا على ضعفه. وباقي رجاله ثقاتوقال السيوطي قال الحافظ عماد الدين بن كثير في جامع المسانيد هذا الحديث منكر جدا وما هو أبعد من أن يكون موضوعا.Kمنكر جدا
105 - | Zفي الزوائد حديث ضعيف. فيه عبد الملك بن الماجشون ضعفه بعض وذكره بن حبان في الثقات. وفيه مسلم بن خالد الزنجي قال البخاري منكر الحديث. وضعفه أبو حاتم والنسائي وغيرهم. ووثقه ابن معين وابن حبانS [ش (اللهم أعز الإسلام) أي قوة وانصره واجعله غالبا على الكفر] .Kصحيح دون قوله خاصة
106 - | Kصحيح
107 - | S [ش (غيرته) أي غيرة عمر. (أعليك بأبي وأمي يا رسول الله أغار) أي أنت مفدى بأبي وأمي. و " أغار " من الغيرة. قيل هو من باب القلب. ولأصل " أعليها أغار منك "] .Kصحيح
108 - | Kصحيح
109 - | Zفي الزوائد إسناده ضعيف. فيه عثمان بن خالد وهو ضعيف باتفاقهمS [ش (ورفيقي) أكثر ما يطلق الرفيق على الصاحب في السفر. وقد يطلق على الصاحب مطلقا وهو المراد هنا] .Kضعيف
110 - | Zفي الزوائد إسناد هذا الحديث كالذي قبلهS [ش (قد زوجك أم كلثوم بمثل صداق رقية) أن أم كلثوم ورقية بنتي رسول الله صلى الله عليه وسلم كانتا أولا تحت عتبة وعتيبة ابني أبي لهب وكانا لم يدخلا بهما. فقال أبو لهب لأبنيه طلقا بنتي محمد. فطلقهما. فزوجهما رسول الله صلى الله عليه وسلم واحدة بعد أخرى لعثمان رضي الله عنه. والصداق مهر المرأة] .Kضعيف
111 - | Zفي الزوائد إسناده منقطع. قال أبو حاتم محمد بن سيرين لم يسمع كعب بن عجرة. وباقي رجاله ثقاتS [ش (فقربها) أي قال إن إتيانها قريب. فإن أول فتنة وقعت في الإسلام فتنة عثمان رضي الله عنه. (مقنع) التقنيع هو ستر الرأس بالرداء وإلقاء طرفه على الكتف. (بضبعي) الضبع العضد والعضد ما بين المرفق والكتف] .Kصحيح
112 - | S [ش (قمصك الله) أي ألبسك الله أياه. (ما منعك) أي عند فتنة عثمان رضي الله عنه] .Kصحيح
113 - | Zفي الزوائد إسناده صحيح. رجاله ثقاتS [ش (يوم الدار) هو اليوم الذي حبس عثمان في الدار] .Kصحيح
114 - | S [ش (عهد إلي) أي ذكر لي وأخبرني بذلك] .Kصحيح
115 - | S [ش (ألا ترضى أن تكون مني بمنزلة هارون من موسى) يعني حين استخلفه عند توجهه إلى الطور. إذا قال له اخلفني في قومي وأصلح. أي ما ترضى بأني أنزلتك مني في منزل كان ذلك المنزل لهارون من موسى؟ وليس في هذا الحديث تعرض لكونه خليفة له صلى الله عليه وسلم بعده. وكيف وهارون ما كان خليفة لموسى بعد موسى؟ بل توفي في حياة موسى] .Kصحيح
116 - | Zفي الزوائد إسناد ضعيف لضعف علي بن يزيد بن جدعانS [ش (فأمر الصلاة جامعة) أي فأمر بالصلاة. وقال ائتوا الصلاة جامعة. ففي الكلام اختصار. و " الصلاة جامعة " كلاهما بالنصب. والصلاة مفعول. وجامعة حال] .Kصحيح
117 - | Zفي الزوائد إسناده ضعيف. ابن أبي ليلى شيخ وكيع وهو محمد ضعيف الحفظ. لأيحتج بما ينفرد بهS [ش (يسمر) السمر والمسامرة الحديث بالليل. (بفرار) مبالغة من الفرار. (تشرف) إلى الشيء تطلع] .Kحسن
118 - | Zفي الزوائد رواه الحاكم في المستدرك من طريق المعلى بن عبد الرحمن كالمصنف. والمعلى اعترض بوضع ستين حديثا في فضل علي قاله ابن معين. فالإسناد ضعيف. وأصله في الترمذي والنسائي من حديث حذيفة بغير زيادة " وأبوهما خير منهما ".Kصحيح
119 - | Kحسن
120 - | Zفي الزوائد هذا الإسناد صحيح. رجاله ثقات. رواه الحاكم في المستدرك عن المنهالوقال صحيح على شرط الشيخين.Kباطل
121 - | S [ش (فنال منه) أي نال معاوية من علي ووقع فيه وسبه] .Kصحيح
122 - | S [ش (حواري) لفظة مفرد بمعنى الخالص والناصر. والياء فيه للنسبة. وأصل معناه البياض فهو منصرف منون. (وإن حواري) أصله بالإضافة إلى ياء المتكلم. لكن حذفت الياء اكتفاء بالكسرة وقد تبدل فتحة للتخفيف] .Kصحيح
123 - | S [ش (جمع لي) أي قال مثلا بأبي وأمي. أي أنت مفدى بهما] .Kصحيح
124 - | S [ش (من الذن استجأبوا) أي من الذين أنزل الله تعالى فيهم {الذين استجابوا لله والرسول} الآية.Kصحيح
125 - | Kصحيح
126 - | S [ش (هذا ممن قضى نحبه) أي وفى بنذره وبعزمه على أن يموت في سبيل الله تعالى. وفي الأساس وقضى نحبه مات كان الموت نذر في عنقه] .Kحسن
127 - | Kحسن
128 - | S [ش (شلاء) الشلل فساد في اليد. وقد شلت يمينه تشل شللا وأشلها الله تعالى ورجل أشل والمرأة شلاء. (وقي) من الوقاية أي جعل يده وقاية لرسول الله صلى الله عليه وسلم] .Kصحيح
129 - | Kصحيح
130 - | Kصحيح
131 - | Kصحيح
132 - | Kصحيح
133 - | Kصحيح
134 - | S [ش (حراء) جبل بمكة فيه غار تحنث فيه النبي صلى الله عليه وسلم] .Kصحيح
135 - | S [ش (حق أمين) أي بلغ في الأمانة الغأية القصوى. (فتشرف) أي تطلع.Kصحيح
136 - | S [ش (لأبي عبيدة) أي في شأنه] .Kصحيح
137 - | S [ش (ابن أم عبد) هو عبد الله بن مسعود] .Kضعيف
138 - | S [ش (غضا) الغض الطري الذي لم يتغير. قيل أراد طريقه في القراءة وهياته فيها. وقيل أراد الأيات التي سمعها منه من أول سورة النساء إلى قوله {وجئنا بك على هؤلاء شهيدا} ] .Kصحيح
139 - | S [ش (إذنك على) أي الدخول على. (وان تسمع سوادي) في النهاية السواد السرار. يقال ساودت الرجل مساودة إذا سارته قيل هو من إدناء سوادك من سوداه أي شخصك من شخصه] .Kصحيح
140 - | Zفي الزوائد رجال إسناده ثقات. إلا أنه قيل روأية محمد بن كعب عن العباس مرسلة.Kضعيف
141 - | Zفي الزوائد إسناد ضعيف لاتفاقهم على ضعف عبد الوهاب. بل قال فيه أبو داود بضع الحديث. وقال الحاكم روى أحاديث موضوعة. وشيخه إسماعيل اختلط بأخرة. وقال ابن رجب انفرد به المصنف وهو موضوع. فإنه من بلأيا عبد الوهاب. وقال فيه أبو داود. ضعيف الحديثS [ش (تجاهين) قال السيوطي أي متقابلين. والتاء فيه بدل واو " وجاه " وفي القاموس تجاهك ووجاهك مثلثين تلقاء وجهك] .Kموضوع
142 - | S [ش (للحسن) أي فيه ولأجل الدعاء له] .Kصحيح
143 - | Zفي الزوائد إسناده صحيح رجاله ثقات.Kحسن
144 - | Zفي الزوائد إسناده حسن. رجاله ثقاتS [ش (فأس رأسه) قال في الإفصاح الفأس حرف القمحدوة المشرف على القفا. والقمحدوة هي الناشزة فوق القفا بين الذؤابة والقفا. قد انحدرت عن الهامة. إذا استلقى الرجل أصابت الأرض من رأسه] .Kحسن
145 - | S [ش (سلم) أي صلح أي مصالح. (حرب) أي محارب] .Kضعيف
146 - | Kصحيح
147 - | S [ش (مشاشة) هي رؤس العظام كالمرفقين والكتفين والركبتين] .Kصحيح
148 - | Kصحيح
149 - | Kضعيف
150 - | Zفي الزوائد إسناده ثقات. رواه ابن حبان في صحيحه والحاكم في المستدرك من طريق عاصم بن أبي النجود بهS [ش (فمنعه الله) أي عصمه من إذاهم. (وصهروهم في الشمس) قال في المقاييس يقال صهرته الشمس كإنها إذابته. يقال ذلك للحرباء إذا تلألأ ظهره من شدة الحر. و " صهروهم " أي ألقوهم في الشمس ايذوب شحمهم. (واتاهم) أصله آتاهم بالهمزة ثم قلبت الهمزة واوا. والإيتاء معناه اعطاء. أي وافقوا المشركين على ما أرادوا منهم تقية. والتقية في مثل هذه الحال جائزة لقوله تعالى {إلا من أكره وقلبه مطمئن بالإيمان} وفي الصحاح آتاه على ذلك الأمر مؤاتاة إذا وافقه وطاوعه. والعامة تقول واتاه. (هانت عليه نفسه) أي صغرت وحقرت عنده لأجله تعالى وفي شأنه] .Kحسن
