hadithnumber,arabicnumber,text,book,hadith,Abu Ghuddah,Al-Albani,Zubair Ali Zai
13,13,"Zeyd b. Erkam (radıyallahü anh)’den rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurmuştur: kısaltmayıp uzatanlar bizim yolumuza uyanlardan değildir.) Edeb: 16; Müsned:",1,13,Sahih,Sahih,Sahih
14,14,"Enes b. Mâlik (radıyallahü anh)’den rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem): kısaltma, tırnakları kesme, etek ve koltuk tıraşı olmayı; kırk günden fazla uzatmamayı bize emretmiştir.) Başka bir seferinde ise kırk geceden fazla bir süre demiştir. Tahara: 16; Tirmizî, Edeb:",1,14,Sahih,Sahih,Sahih Muslim
15,15,"İbn Ömer (radıyallahü anh)’den rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurmuştur: oldukça kısa tutun, sakallarınızı da uzatın.) Edeb: 18; Müslim, Tahara:",1,15,Sahih,Sahih,Sahih - Agreed Upon
16,16,Abdurrahman b. ebî Kurâd (radıyallahü anh) şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem) ile birlikte tuvalet ihtiyacı için çıkmıştım. O böyle bir ihtiyacı olduğunda başkalarından iyice uzaklaşırdı,1,16,Sahih,Sahih,Isnaad Hasan
17,17,"Muğire b. Şu’be (radıyallahü anh)’den rivâyete göre, Peygamber (sallallahü aleyhi ve sellem) tuvalet ihtiyacı için insanlardan uzaklaşırdı. Yolculuklarından birinde yine uzaklara gitmişti de: su getiriver, diye seslenmişti. Kendisine su götürdüm, onunla abdest aldı ve mestleri üzerine meshetti.) Tahara: 10; Ebû Dâvûd, Tahara:",1,17,Hasan Sahih,Hasan Sahih,Sahih
18,18,,1,18,Sahih,Sahih,Sahih - Agreed Upon
19,19,"Enes b. Mâlik (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem) tuvalete girerken, şöyle derdi: Erkek ve dişi tüm şeytanlardan ve tüm pislik ve kötülüklerden Sana sığınırım.) Tahara: 5; Ebû Dâvûd, Tahara:",1,19,Sahih,Sahih,Sahih - Agreed Upon
20,20,"Rafi b. ishak (radıyallahü anh)’den rivâyete göre, Ebû Eyyûb el Ensarî, Mısır’da iken, kendisinin şöyle dediğini işittim: bu tuvaletlerde nasıl hareket edeceğimi bilmiyorum.) Rasûlüllah (sallallahü aleyhi ve sellem): biriniz büyük veya küçük abdest bozacağı zaman önünü ve arkasını kıble tarafına döndürmesin.) buyurmuşlardı. Tahara: 6; Buhârî, Vudu’’:",1,20,Sahih,Sahih,Isnaad Sahih
21,21,,1,21,Sahih,Sahih,Sahih - Agreed Upon
22,22,,1,22,Sahih,Sahih,Sahih - Agreed Upon
23,23,"Abdullah b. Ömer (radıyallahü anh)’den rivâyete göre, şöyle demiştir: damına çıkmıştım; Rasûlüllah (sallallahü aleyhi ve sellem)’i Beyti Makdis’e doğru iki kerpiç üzerinde abdest bozarken gördüm.) Tahara: 7; Buhârî, Vudu’’:",1,23,Sahih,Sahih,Sahih - Agreed Upon
24,24,,1,24,Sahih,Sahih,Sahih - Agreed Upon
25,25,,1,25,Sahih,Sahih,Sahih - Agreed Upon
26,26,,1,26,Sahih,Sahih,Sahih - Agreed Upon
27,27,,1,27,Sahih,Sahih,Sahih - Agreed Upon
28,28,"Âişe (radıyallahü anha)’dan rivâyete göre, şöyle demiştir: size Rasûlüllah (sallallahü aleyhi ve sellem)’in ayakta küçük abdestini bozduğunu söylerse inanmayın. Rasûlüllah (sallallahü aleyhi ve sellem), oturarak küçük abdestini bozardı.) Tahara: 8; İbn Mâce, Tahara:",1,28,Sahih,Sahih,Sahih - Agreed Upon
29,29,,1,29,Sahih,Sahih,Daif
30,30,"Abdurrahman b. Hasene (radıyallahü anh)’den rivâyete göre, şöyle demiştir: sallallahü aleyhi ve sellem) elinde kalkana benzer bir şeyle yanımıza geldi, elindeki malzemeyi yere dikti, arkasına çömeldi ve küçük abdestini bozdu.) Orada bulunanlardan bir kısmı: Bakınız! Kadınlar gibi küçük abdestini bozuyor dediler. Bunu işiten Rasûlüllah (sallallahü aleyhi ve sellem) o kimselere şöyle dedi: bir kısmının başına gelenleri bilmiyor musunuz? Onlar üzerlerine idrar dokunan yerleri makasla kesiyorlardı da bazıları onları bu işi yapmaktan yasakladı sonra da kabirde kendilerine azâb edildi.) (Tirmizî, Tahara: 10; İbn Mâce, Tahara:)",1,30,Sahih,Sahih,Daif
31,31,"İbn Abbâs (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem), iki mezarın başına geldi ve şöyle buyurdu: mezardaki iki kişiye azâb edilmektedir. Bu azâb işledikleri büyük günahlardan dolayı da değildir. Şu mezardaki kimse hayattayken idrarının sıçramasından dolayı dikkatsizdi, sakınmazdı. Bu beriki ise koğuculuk yapar, laf taşırdı.) Sonra Rasûlüllah (sallallahü aleyhi ve sellem) yaş bir hurma dalı istedi ve hurma dalını ikiye böldü, birini bir mezarın diğerini de diğer mezarın üzerine dikti ve şöyle buyurdu: ki bu iki dal yaş kaldıkları sürece bunların azabları hafifletilir.) (İbn Mâce, Tahara: 26; Buhârî, Vudu’’:)",1,31,Sahih,Sahih,Isnaad Sahih
32,32,"Hukeyme kızı Ümeyme (radıyallahü anha), annesi Ümeyme b. Rukayka (radıyallahü anha)’dan rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem)’in ağaçtan oyularak yapılma bir kabı vardı ki onun içerisine küçük abdestini yapar ve divanın altına koyardı.) (Ebû Dâvûd, Tahara: 13; İbn Mâce, Cenaiz:)",1,32,Hasan Sahih,Hasan Sahih,Sahih - Agreed Upon
33,33,"Esved ve Âişe (radıyallahü anhüma)’dan rivâyete göre, şöyle demişlerdir: Rasûlüllah (sallallahü aleyhi ve sellem), ölüm hastalığında Hazret-i Ali’ye vasiyet etmişti.) (Rasûlüllah sallallahü aleyhi ve sellem)’in hastalığı çok ağırdı ve küçük abdestini yapmak için bir kap istemişti, o esnada kime ne vasiyet ettiğini bilmiyorum.) (Ebû Dâvûd, Tahara: 13; İbn Mâce, Cenaiz:)",1,33,Sahih,Sahih,Hasan
34,34,"Abdullah b. Sercis (radıyallahü anh)’den rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: yuvalarına (deliklerine) küçük abdest bozmayınız.) (radıyallahü anh)’e: Hayvanların delik ve yuvalarına küçük abdest bozmanın hoş karşılanmayışının sebebini sordular. O da şöyle cevap verdi: cinlerin bulundukları yerlerdir denilir.) (Ebû Dâvûd, Tahara: 16; Müsned:)",1,34,Daif,Daif,Daif
35,35,"Câbir (radıyallahü anh.)’den rivâyete göre: sallallahü aleyhi ve sellem), durgun suya küçük abdest bozmayı yasakladı.) (İbn Mâce, Tahara: 25; Müslim, Tahara:)",1,35,Sahih,Sahih,Sahih Muslim
36,36,"Abdullah b. Muğaffel (radıyallahü anh)’den rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurmuştur: biriniz yıkandığı yere ve kaba küçük abdestini yapmasın çünkü vesvese ve kuşkulanmanın çoğu böyle şeylerden olur.) (Ebû Dâvûd, Tahara: 15; Tirmizî, Tahara:)",1,36,Sahih,Daif,Daif
37,37,"İbn Ömer (radıyallahü anh)’den rivâyete göre, şöyle demiştir: sallallahü aleyhi ve sellem), küçük abdest bozarken bir adam O’na uğradı da selâm verdi. Rasûlüllah (sallallahü aleyhi ve sellem) ise onun selâmını almadı.) (Ebû Dâvûd, Tahara: 8; İbn Mâce, Tahara:)",1,37,Hasan Sahih,Hasan Sahih,Sahih Muslim
38,38,"Muhacir b. Kunfüz (radıyallahü anh), Rasûlüllah (sallallahü aleyhi ve sellem) küçük abdest bozarken kendisine selâm vermişti de, Rasûlüllah (sallallahü aleyhi ve sellem) abdest alıncaya kadar selâmını almadı. Abdest alıp bitirdi. Sonra selâmını aldı. (İbn Mâce, Tahara: 27; Ebû Dâvûd, Tahara:)",1,38,Sahih,Sahih,Daif
39,39,"Abdullah b. Mes’ud (radıyallahü anh)’den rivâyete göre: sallallahü aleyhi ve sellem) kemikle veya tezekle taharetlenmeyi yasakladı.) (İbn Mâce, Tahara: 16; Tirmizî, Tahara:)",1,39,Sahih,Sahih,Sahih
40,40,"Ebû Hüreyre (radıyallahü anh) den rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: size bir baba gibi her şeyi öğretiyorum. Sizden biriniz tuvalete girince, önünü ve arkasını kıbleye dönmesin, sağ eliyle taharetlenmesin.) Rasûlüllah (sallallahü aleyhi ve sellem) üç taş ile taharetlenmeyi emreder, kemik ve tezekle taharetlenmeyi yasaklardı. (Ebû Dâvûd, Tahara: 20; İbn Mâce, Tahara:)",1,40,Hasan Sahih,Hasan Sahih,Isnaad Hasan
41,41,"Selman (radıyallahü anh)’den rivâyete göre, şöyle demiştir: adam Selman’a: Arkadaşınız olan Peygamber (sallallahü aleyhi ve sellem), abdest bozmaya varıncaya kadar size her şeyi öğretiyor deyince Selman: herşeyi öğretiyor, küçük ve büyük abdest yaparken kıbleye dönmememizi, sağ ellerimizle taharetlenmememizi üçten az taş kullanarak taharetlenmeyi bize yasakladı) dedi. (İbn Mâce, Tahara: 16; Ebû Dâvûd, Tahara:)",1,41,Sahih,Sahih,Sahih Muslim
42,42,"Abdullah b. Mes’ud (radıyallahü anh) şöyle diyor: sallallahü aleyhi ve sellem) bir sefer tuvalet ihtiyacını gidermek için bir yere gitti. Bana da (kendisi için) üç taş getirmemi emretti. Ben de iki taş buldum, üçüncüyü aramama rağmen bulamadım ve onun yerine bir tezek aldım hepsini Peygamber (sallallahü aleyhi ve sellem)’e getirdim, iki taşı aldı ve tezeği atıp: pistir) buyurdu. Abdurrahman: tezek demektir ve cinlerin yiyeceğidir) dedi. (Tirmizî, Tahara: 13; İbn Mâce, Tahara:)",1,42,Sahih,Sahih,Sahih Bukhari
43,43,"Seleme b. Kays (radıyallahü anh)’den rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: taş sayısını tek yap.) (Tirmizî, Tahara: 13; Ebû Dâvûd, Tahara:)",1,43,Sahih,Sahih,Isnaad Sahih
44,44,"Âişe (radıyallahü anha)’dan rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: tuvalet ihtiyacınızı gidereceğinizde yanınızda üç taş götürün ve onlarla temizlenin, bunlar o kimsenin temizliği için yeterlidir.) (Ebû Dâvûd, Tahara:)",1,44,Sahih,Sahih,Hasan
45,45,"Ata b. Ebû Meymune (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Enes b. Mâlik’in şöyle dediğini işittim: sallallahü aleyhi ve sellem), tuvalete gireceğinde ben ve yaşıtım olan bir çocukla O’nun için su taşırdık; Rasûlüllah (sallallahü aleyhi ve sellem) de o su ile taharetlenirdi.) (Ebû Dâvûd, Tahara: 23; İbn Mâce, Tahara:)",1,45,Sahih,Sahih,Sahih - Agreed Upon
46,46,"Âişe (radıyallahü anha)’dan rivâyete göre, şöyle demiştir: kadınlar kocalarınıza su ile temizlenmelerini bildiriniz. Ben Rasûlüllah (sallallahü aleyhi ve sellem)’in su ile taharetlendiğini kocalarınıza söylemekten utanıyorum.) (Tirmizî, Tahara:)",1,46,Sahih,Sahih,Sahih
47,47,"Ebû Katade (radıyallahü anh)’den rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: biriniz su ve meşrubat içtiğinde kabın içersine üflemesin. Tuvalete girdiğinde; tenasül organına sağ eliyle dokunmasın ve sağ eliyle de taharetlenmesin.) (Ebû Dâvûd, Tahara: 18; Müslim, Tahara:)",1,47,Sahih,Sahih,Sahih
48,48,"İbn Katade, babası Ebû Katade (radıyallahü anhüma)’dan naklederek şöyle demiştir: sallallahü aleyhi ve sellem) bir kimsenin su içtiği kaba üflemesini, tenasül organına sağ el ile dokunmasını ve sağ eliyle taharetlenmesini yasakladı.) (Ebû Dâvûd, Tahara: 18; Müslim, Tahara:)",1,48,Sahih,Sahih,Sahih
49,49,"Selman (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Müşrikler Selman’a: Görüyoruz ki arkadaşınız Peygamber size abdest bozmayı bile öğretiyor dediler. Selman ise: Rasûlüllah (sallallahü aleyhi ve sellem) bizi sağ elimizle taharetlenmekten, abdest bozarken kıbleye dönmekten bizi yasakladı ve üçten daha az taşla taharetlenmeyin buyurdu) dedi. (Müslim, Tahara: 18; Ebû Dâvûd, Tahara:)",1,49,Sahih,Sahih,Sahih
50,50,"Ebû Hüreyre (radıyallahü anh)’den rivâyete göre: (sallallahü aleyhi ve sellem), abdest alacaktı da taharetlenmeden sonra elini toprakla ovuşturdu.) (Ebû Dâvûd, Tahara: 24; İbn Mâce, Tahara:)",1,50,Hasan,Hasan,Isnaad Hasan
51,51,"İbrahim b. Cerir (radıyallahü anh), babasından naklederek şöyle demiştir: sallallahü aleyhi ve sellem) ile beraberdim, tuvalete girip ihtiyacını giderdi ve: Cerir! su getir) dedi. Bende ona su götürdüm. O su ile taharetini yaptı ve toprakla da elini ovuşturdu.) (Ebû Dâvûd, Tahara: 24; İbn Mâce, Tahara:)",1,51,Hasan,Hasan,Sahih
52,52,"Abdullah b. Ömer (radıyallahü anh), babasından naklederek şöyle diyor: sallallahü aleyhi ve sellem)’e yırtıcı hayvan ve diğer hayvanların uğradıkları su birikintilerinin pislenip pislenmediği konusunda soruldu da şöyle cevap verdi: iki kulle miktarına ulaşırsa pis olmaz.) (Kulle: Bir pislik bulaştığında rengi, kokusu ve tadı değişmeyecek kadar büyüklükteki bir kaptır.) (Tirmizî, Tahara: 50; İbn Mâce, Tahara:)",1,52,Sahih,Sahih,Isnaad Sahih
53,53,"Enes (radıyallahü anh)’den rivâyete göre: bedevi mescide küçük abdestini yaptı. Orada bulunanlardan bir kısmı ona engel olmaya kalkışmışlardı. Bunun üzerine Rasûlüllah (sallallahü aleyhi ve sellem): ona engel olmayın) buyurdu. Bedevi işini bitirince Rasûlüllah (sallallahü aleyhi ve sellem) bir kova su getirtti ve idrarın üzerine döktü.) (Buhârî, Vudu’’: 61; İbn Mâce, Tahara:)",1,53,Sahih,Sahih,Sahih - Agreed Upon
54,54,"Enes (radıyallahü anh)’den rivâyete göre, şöyle demiştir: bedevi mescide küçük abdestini yapmıştı da Peygamber (sallallahü aleyhi ve sellem) bir kova su getirilmesini emretti ve o su, oraya döküldü.) (Buhârî, Vudu’’: 61; İbn Mâce, Tahara:)",1,54,Sahih,Sahih,Sahih - Agreed Upon
55,55,"Yahya b. Said (radıyallahü anh) şöyle demiştir: Enes’in şöyle dediğini duydum: Bir bedevi mescide geldi ve küçük abdestini yaptı. Bunun üzerine oradakiler bedeviye bağrıştılar. Rasûlüllah (sallallahü aleyhi ve sellem) de: onu) buyurdu onlar da idrarını bitirinceye kadar ona bir şey yapmadılar. Sonra bir kova su getirilmesini emretti ve o su, oraya döküldü. (Buhârî, Vudu’’: 61; İbn Mâce, Tahara:)",1,55,Sahih,Sahih,Sahih - Agreed Upon
56,56,"Ebû Hûreyre (radıyallahü anh)’den rivâyete göre, şöyle demiştir: bedevi mescidin bir tarafına idrar yapmıştı da orada bulunanlar harekete geçmişlerdi. Rasûlüllah (sallallahü aleyhi ve sellem) onlara: onu ve idrarının üzerine bir kova su dökünüz. Çünkü sizler kolaylık göstermek için gönderildiniz, zorluk çıkarmak için değil) buyurdular. (Tirmizî, Tahara: 112; Buhârî, Vudu’’:)",1,56,Sahih,Sahih,Sahih
57,57,,1,57,Sahih,Sahih,Isnaad Sahih
58,58,,1,58,Sahih,Sahih,Isnaad Sahih
59,59,"Ebû Hûreyre (radıyallahü anh) şöyle demiştir: Bir adam Rasûlüllah (sallallahü aleyhi ve sellem)’e: Allah’ın Rasûlü! Biz deniz yolculuğuna çıkıyoruz ve yanımızda da az su bulunuyor, eğer o su ile abdest alırsak susuz kalırız, bu sebeple deniz suyu ile abdest alabilir miyiz? diye sordu, Rasûlüllah (sallallahü aleyhi ve sellem): suyu temizdir, deniz hayvanları da hepsi helaldir) buyurdular. (Tirmizî, Tahara: 52; İbn Mâce, Sayd:)",1,59,Sahih,Sahih,Isnaad Sahih
60,60,,1,60,Sahih,Sahih,Sahih - Agreed Upon
61,61,"Âişe (radıyallahü anha)’dan rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem) şöyle dua ederdi: benim hatalarımı kar ve dolu suyu ile yıka. Beyaz elbiseyi kirden temizlediğin gibi kalbimi de hatalardan arındır.) (Ebû Dâvûd, Salat: 121; Buhârî, Ezan:)",1,61,Sahih,Sahih,Sahih
62,62,"Cübeyr b. Nufer (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Avf İbn Mâlik’in şöyle dediğine şahit olmuştum: sallallahü aleyhi ve sellem)‘i bir cenaze namazını kılarken dinledim ve duasında şöyle dediğini duydum: onu bağışla, ona acı, onun halini düzelt, ona ikramda bulun, onun yerini geniş tut, onu su, kar ve dolu ile yıka. Beyaz elbisenin kirden arınması gibi, onu hata ve günahlarından temizle.) (Müslim, Cenaiz: 14; Tirmizî, Cenaiz:)",1,62,Sahih,Sahih,Sahih Muslim
63,63,,1,63,Sahih,Sahih,Sahih - Agreed Upon
64,64,,1,64,Sahih,Sahih,Isnaad Sahih
65,65,,1,65,,Daif,Isnaad Sahih
66,66,"Abdullah b. Muğaffel (radıyallahü anh)’den rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem): öldürmeyi emretti. Av ve koyun köpeğine izin verdi ve şöyle buyurdu: bir kaba ağzını sokarsa, onu yedi defa yıkayın sekizinci de ise toprakla ovun.) (Ebû Dâvûd, Tahara: 37; Müslim, Tahara:)",1,66,Sahih,Sahih,Sahih Muslim
67,67,,1,67,Sahih,Sahih,Sahih Muslim
68,68,"Kebşe binti Ka’b. b. Mâlik (radıyallahü anh)’den aktarıldığına göre, Ebû Katade, Kebşe’ nin yanına geldi ve şuna yakın bir şeyler söylediğini anlattı: Katade için abdest suyu hazırlamıştım, bir kedi geldi ve o kaptan su içmek istedi. Ebû Katade kabı eğerek kedinin rahat su içmesini sağladı. Kebşe dedi ki: Ebû Katade benim o kaba baktığımı görünce; Ey kardeşimin kızı şaşırdın mı? Diye sordu. Evet dedim, o zaman Ebû Katade şöyle dedi: Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: pis değildir, o sizin evlerinizde ve çevrenizde çok dolaşan temiz hayvanlardandır.) (Tirmizî, Tahara: 69; İbn Mâce, Tahara:)",1,68,Sahih,Sahih,Isnaad Sahih
69,69,"Enes (radıyallahü anh)’den rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem)’in münâdisi bize gelerek şöyle dedi: ve Rasûlü sizleri eşek eti yemekten yasaklıyor çünkü o necis olup pistir.) (Müslim, Sayd: 5; Müsned:)",1,69,Sahih,Sahih,Sahih - Agreed Upon
70,70,"Âişe (radıyallahü anha)’dan rivâyete göre, şöyle demiştir: etli bir kemikten yiyordum. Rasûlüllah (sallallahü aleyhi ve sellem)’de benim ısırdığım yerden yiyordu. Halbuki ben o anda hayızlıydım. ve yine ben hayızlı iken bir kaptan su içiyordum da Rasûlüllah (sallallahü aleyhi ve sellem)’de o kaptan benim içtiğim yerden su içiyordu.) (Ebû Dâvûd, Tahara: 102; İbn Mâce, Tahara:)",1,70,Sahih,Sahih,Sahih Muslim
71,71,"İbn Ömer (radıyallahü anh)’den rivâyete göre, şöyle demiştir: sallallahü aleyhi ve sellem) zamanında erkekler ve kadınlar bir kaptan abdest alıyorlardı veya hicab ayeti nazil olmadan beraberce abdest alıyorlardı.) (Buhârî, Vudu’’: 46; İbn Mâce, Tahara:)",1,71,Sahih,Sahih,Sahih Bukhari
72,72,"Urve (radıyallahü anh)’den rivâyete göre, Âişe (radıyallahü anha), Rasûlüllah (sallallahü aleyhi ve sellem) ile birlikte aynı kaptan yıkandığını haber verdi. (İbn Mâce, Tahara: 35; Ebû Dâvûd, Tahara:)",1,72,Sahih,Sahih,Sahih - Agreed Upon
73,73,"Abdullah b. Cebr (radıyallahü anh)’dan rivâyete göre, şöyle demiştir: Enes b. Mâlik (radıyallahü anh)’den işittim şöyle diyordu: sallallahü aleyhi ve sellem) bir mekûk su ile abdest alır beş mekûk su ile guslederdi.) (Ebû Dâvûd, Tahara: 44; Buhârî, Vudu’’:)",1,73,Sahih,Sahih,Sahih - Agreed Upon
74,74,"Ümmü Umara binti Ka’b (radıyallahü anha)’den rivâyete göre, Peygamber (sallallahü aleyhi ve sellem) abdest almak istedi. Kendisine bir müdd’ün üçte ikisi miktarında bir kapla su getirildi. Şu’be diyor ki: sallallahü aleyhi ve sellem)’in her iki kolunu dirseklerine kadar yıkayıp ovuşturduğunu, kulaklarının içini meshettiğini iyi hatırlıyorum fakat kulaklarının dışını meshettiğini pek bilemiyorum.) (Ebû Dâvûd, Tahara: 48; Buhârî, Vudu’’:)",1,74,Sahih,Sahih,Isnaad Sahih
75,75,"Ömer b. Hattab (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: niyetlere göre değerlendirilir. Herkesin niyet ettiği şey ne ise; eline geçecek olan da odur. Kimin hicreti Allah’a ve Rasûlüne ise artık onun hicreti Allah ve Rasûlüne olmuş olur. Kimin de hicreti dünya için ise, onu elde eder veya bir kadın için hicret etmişse onu nikahlar. Yani herkesin hicreti, hicret ettiği şeyedir.) (Buhârî, İman: 47; Müslim, İmara:)",1,75,Sahih,Sahih,Sahih - Agreed Upon
76,76,"Enes (radıyallahü anh)’den rivâyete göre, şöyle demiştir: kere Rasûlüllah (sallallahü aleyhi ve sellem)’i gördüm ikindi namazı vakti daralmıştı, halk abdest suyu aradılar fakat bulamadılar. Rasûlüllah (sallallahü aleyhi ve sellem)’e bir kap içerisinde az bir su getirdiler, elini bu kabın içerisine soktu ve insanların abdestlerini o kaptan almalarını emretti. Parmaklarının altından suyun kaynadığını gördüm, oradaki bulunanların hepsi abdest alıncaya kadar bu kaynama devam etti.) (Buhârî, Vudu’’: 49; Müslim, Fedail:)",1,76,Sahih,Sahih,Sahih - Agreed Upon
77,77,"Abdullah b. Mes’ud (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem) ile beraberdik halk abdest almak için su bulamadı, bir kap içerisinde bir miktar su getirildi. Rasûlüllah (sallallahü aleyhi ve sellem) elini o kaba soktu, o anda parmaklarının arasından suyun kaynadığını gördüm. Rasûlüllah (sallallahü aleyhi ve sellem): tertemiz suya ve Allah’tan gelen berekete koşunuz!) buyurdu. A’meş dedi ki: Bu hadisi bana Sâlim b. Ebî’l Ca’d nakletti ve dedi ki: Câbir’e o gün kaç kişiydiniz diye sordum. (Bin beş yüz) dedi. (Müslim, Fedail: 3; Buhârî, Vudu’’:)",1,77,Sahih,Sahih,Sahih
