hadithnumber,arabicnumber,text,book,hadith,Al-Albani,Muhammad Muhyi Al-Din Abdul Hamid,Shuaib Al Arnaut,Zubair Ali Zai
11,11,حدثنا محمد بن يحيى بن فارس، حدثنا صفوان بن عيسى، عن الحسن بن ذكوان، عن مروان الاصفر، قال رايت ابن عمر اناخ راحلته مستقبل القبلة ثم جلس يبول اليها فقلت يا ابا عبد الرحمن اليس قد نهي عن هذا قال بلى انما نهي عن ذلك في الفضاء فاذا كان بينك وبين القبلة شىء يسترك فلا باس,1,11,Hasan,Hasan,,Daif
12,12,حدثنا عبد الله بن مسلمة، عن مالك، عن يحيى بن سعيد، عن محمد بن يحيى بن حبان، عن عمه، واسع بن حبان، عن عبد الله بن عمر، قال لقد ارتقيت على ظهر البيت فرايت رسول الله صلى الله عليه وسلم على لبنتين مستقبل بيت المقدس لحاجته,1,12,Sahih,Sahih,Sahih,Sahih Bukhari (145) Sahih Muslim (266)
13,13,حدثنا محمد بن بشار، حدثنا وهب بن جرير، حدثنا ابي قال، سمعت محمد بن اسحاق، يحدث عن ابان بن صالح، عن مجاهد، عن جابر بن عبد الله، قال نهى نبي الله صلى الله عليه وسلم ان نستقبل القبلة ببول فرايته قبل ان يقبض بعام يستقبلها,1,13,Hasan,Hasan,Hasan,Isnaad Hasan
14,14,حدثنا زهير بن حرب، حدثنا وكيع، عن الاعمش، عن رجل، عن ابن عمر، ان النبي صلى الله عليه وسلم كان اذا اراد حاجة لا يرفع ثوبه حتى يدنو من الارض . قال ابو داود رواه عبد السلام بن حرب عن الاعمش عن انس بن مالك وهو ضعيف . قال ابو عيسى الرملي حدثنا احمد بن الوليد حدثنا عمرو بن عون اخبرنا عبد السلام به,1,14,Sahih,Sahih,Daif,Daif
15,15,"حدثنا عبيد الله بن عمر بن ميسرة، حدثنا ابن مهدي، حدثنا عكرمة بن عمار، عن يحيى بن ابي كثير، عن هلال بن عياض، قال حدثني ابو سعيد، قال سمعت رسول الله صلى الله عليه وسلم يقول "" لا يخرج الرجلان يضربان الغايط كاشفين عن عورتهما يتحدثان فان الله عز وجل يمقت على ذلك "" . قال ابو داود هذا لم يسنده الا عكرمة بن عمار",1,15,Daif,Daif,Daif,Daif
16,16,حدثنا عثمان، وابو بكر ابنا ابي شيبة قالا حدثنا عمر بن سعد، عن سفيان، عن الضحاك بن عثمان، عن نافع، عن ابن عمر، قال مر رجل على النبي صلى الله عليه وسلم وهو يبول فسلم عليه فلم يرد عليه . قال ابو داود وروي عن ابن عمر وغيره ان النبي صلى الله عليه وسلم تيمم ثم رد على الرجل السلام,1,16,Hasan,Hasan,Sahih,Sahih Muslim (370)
17,17,"حدثنا محمد بن المثنى، حدثنا عبد الاعلى، حدثنا سعيد، عن قتادة، عن الحسن، عن حضين بن المنذر ابي ساسان، عن المهاجر بن قنفذ، انه اتى النبي صلى الله عليه وسلم وهو يبول فسلم عليه فلم يرد عليه حتى توضا ثم اعتذر اليه فقال "" اني كرهت ان اذكر الله عز وجل الا على طهر "" . او قال "" على طهارة",1,17,Sahih,Sahih,Hasan,Daif
18,18,حدثنا محمد بن العلاء، حدثنا ابن ابي زايدة، عن ابيه، عن خالد بن سلمة، - يعني الفافاء - عن البهي، عن عروة، عن عايشة، قالت كان رسول الله صلى الله عليه وسلم يذكر الله عز وجل على كل احيانه,1,18,Sahih,Sahih,,Sahih Muslim (373)
19,19,حدثنا نصر بن علي، عن ابي علي الحنفي، عن همام، عن ابن جريج، عن الزهري، عن انس، قال كان النبي صلى الله عليه وسلم اذا دخل الخلاء وضع خاتمه . قال ابو داود هذا حديث منكر وانما يعرف عن ابن جريج عن زياد بن سعد عن الزهري عن انس ان النبي صلى الله عليه وسلم اتخذ خاتما من ورق ثم القاه . والوهم فيه من همام ولم يروه الا همام,1,19,Daif,Munkar,,Daif
20,20,"حدثنا زهير بن حرب، وهناد بن السري، قالا حدثنا وكيع، حدثنا الاعمش، قال سمعت مجاهدا، يحدث عن طاوس، عن ابن عباس، قال مر رسول الله صلى الله عليه وسلم على قبرين فقال "" انهما يعذبان وما يعذبان في كبير اما هذا فكان لا يستنزه من البول واما هذا فكان يمشي بالنميمة "" . ثم دعا بعسيب رطب فشقه باثنين ثم غرس على هذا واحدا وعلى هذا واحدا وقال "" لعله يخفف عنهما ما لم ييبسا "" . قال هناد "" يستتر "" . مكان "" يستنزه",1,20,Sahih,Sahih,Sahih,Sahih Bukhari (6052) Sahih Muslim (292)
21,21,"حدثنا عثمان بن ابي شيبة، حدثنا جرير، عن منصور، عن مجاهد، عن ابن عباس، عن النبي صلى الله عليه وسلم بمعناه قال "" كان لا يستتر من بوله "" . وقال ابو معاوية "" يستنزه",1,21,Sahih,Sahih,Sahih,Sahih Bukhari (216)
22,22,"حدثنا مسدد، حدثنا عبد الواحد بن زياد، حدثنا الاعمش، عن زيد بن وهب، عن عبد الرحمن ابن حسنة، قال انطلقت انا وعمرو بن العاص، الى النبي صلى الله عليه وسلم فخرج ومعه درقة ثم استتر بها ثم بال فقلنا انظروا اليه يبول كما تبول المراة . فسمع ذلك فقال "" الم تعلموا ما لقي صاحب بني اسراييل كانوا اذا اصابهم البول قطعوا ما اصابه البول منهم فنهاهم فعذب في قبره "" . قال ابو داود قال منصور عن ابي وايل عن ابي موسى في هذا الحديث قال "" جلد احدهم "" . وقال عاصم عن ابي وايل عن ابي موسى عن النبي صلى الله عليه وسلم قال "" جسد احدهم",1,22,Sahih Muquf,Sahih,Sahih,Daif
23,23,حدثنا حفص بن عمر، ومسلم بن ابراهيم، قالا حدثنا شعبة، ح وحدثنا مسدد، حدثنا ابو عوانة، - وهذا لفظ حفص - عن سليمان، عن ابي وايل، عن حذيفة، قال اتى رسول الله صلى الله عليه وسلم سباطة قوم فبال قايما ثم دعا بماء فمسح على خفيه . قال ابو داود قال مسدد قال فذهبت اتباعد فدعاني حتى كنت عند عقبه,1,23,Sahih,Sahih,Sahih,Sahih Bukhari (224) Sahih Muslim (273)
24,24,حدثنا محمد بن عيسى، حدثنا حجاج، عن ابن جريج، عن حكيمة بنت اميمة بنت رقيقة، عن امها، انها قالت كان للنبي صلى الله عليه وسلم قدح من عيدان تحت سريره يبول فيه بالليل,1,24,Hasan Sahih,Hasan Sahih,,Isnaad Hasan
25,25,"حدثنا قتيبة بن سعيد، حدثنا اسماعيل بن جعفر، عن العلاء بن عبد الرحمن، عن ابيه، عن ابي هريرة، ان رسول الله صلى الله عليه وسلم قال "" اتقوا اللاعنين "" . قالوا وما اللاعنان يا رسول الله قال "" الذي يتخلى في طريق الناس او ظلهم",1,25,Sahih,Sahih,Sahih,Sahih Muslim (269)
26,26,"حدثنا اسحاق بن سويد الرملي، وعمر بن الخطاب ابو حفص، وحديثه، اتم ان سعيد بن الحكم، حدثهم قال اخبرنا نافع بن يزيد، حدثني حيوة بن شريح، ان ابا سعيد الحميري، حدثه عن معاذ بن جبل، قال قال رسول الله صلى الله عليه وسلم "" اتقوا الملاعن الثلاث البراز في الموارد وقارعة الطريق والظل",1,26,Hasan,Hasan,Hasan Lighairihi,Daif
27,27,"حدثنا احمد بن محمد بن حنبل، والحسن بن علي، قالا حدثنا عبد الرزاق، قال احمد حدثنا معمر، اخبرني اشعث، وقال الحسن، عن اشعث بن عبد الله، عن الحسن، عن عبد الله بن مغفل، قال قال رسول الله صلى الله عليه وسلم "" لا يبولن احدكم في مستحمه ثم يغتسل فيه "" . قال احمد "" ثم يتوضا فيه فان عامة الوسواس منه",1,27,Daif,Sahih,Sahih Lighairihi,Daif
28,28,حدثنا احمد بن يونس، حدثنا زهير، عن داود بن عبد الله، عن حميد الحميري، - وهو ابن عبد الرحمن - قال لقيت رجلا صحب النبي صلى الله عليه وسلم كما صحبه ابو هريرة قال نهى رسول الله صلى الله عليه وسلم ان يمتشط احدنا كل يوم او يبول في مغتسله,1,28,Sahih,Sahih,Sahih,Isnaad Sahih
29,29,حدثنا عبيد الله بن عمر بن ميسرة، حدثنا معاذ بن هشام، حدثني ابي، عن قتادة، عن عبد الله بن سرجس، ان رسول الله صلى الله عليه وسلم نهى ان يبال في الجحر . قال قالوا لقتادة ما يكره من البول في الجحر قال كان يقال انها مساكن الجن,1,29,Daif,Daif,,Daif
30,30,"حدثنا عمرو بن محمد الناقد، حدثنا هاشم بن القاسم، حدثنا اسراييل، عن يوسف بن ابي بردة، عن ابيه، حدثتني عايشة، رضى الله عنها ان النبي صلى الله عليه وسلم كان اذا خرج من الغايط قال "" غفرانك",1,30,Sahih,Sahih,,Isnaad Sahih
31,31,"حدثنا مسلم بن ابراهيم، وموسى بن اسماعيل، قالا حدثنا ابان، حدثنا يحيى، عن عبد الله بن ابي قتادة، عن ابيه، قال قال رسول الله صلى الله عليه وسلم "" اذا بال احدكم فلا يمس ذكره بيمينه واذا اتى الخلاء فلا يتمسح بيمينه واذا شرب فلا يشرب نفسا واحدا",1,31,Sahih,Sahih,Sahih,Sahih Bukhari (153، 154) Sahih Muslim (267)
32,32,حدثنا محمد بن ادم بن سليمان المصيصي، حدثنا ابن ابي زايدة، قال حدثني ابو ايوب، - يعني الافريقي - عن عاصم، عن المسيب بن رافع، ومعبد، عن حارثة بن وهب الخزاعي، قال حدثتني حفصة، زوج النبي صلى الله عليه وسلم ان النبي صلى الله عليه وسلم كان يجعل يمينه لطعامه وشرابه وثيابه ويجعل شماله لما سوى ذلك,1,32,Sahih,Sahih,Sahih Lighairihi,Isnaad Hasan
33,33,حدثنا ابو توبة الربيع بن نافع، حدثني عيسى بن يونس، عن ابن ابي عروبة، عن ابي معشر، عن ابراهيم، عن عايشة، قالت كانت يد رسول الله صلى الله عليه وسلم اليمنى لطهوره وطعامه وكانت يده اليسرى لخلايه وما كان من اذى,1,33,Sahih,,,Daif
34,34,حدثنا محمد بن حاتم بن بزيع، حدثنا عبد الوهاب بن عطاء، عن سعيد، عن ابي معشر، عن ابراهيم، عن الاسود، عن عايشة، عن النبي صلى الله عليه وسلم بمعناه,1,34,,Sahih,Sahih,Daif
35,35,"حدثنا ابراهيم بن موسى الرازي، اخبرنا عيسى بن يونس، عن ثور، عن الحصين الحبراني، عن ابي سعيد، عن ابي هريرة، عن النبي صلى الله عليه وسلم قال "" من اكتحل فليوتر من فعل فقد احسن ومن لا فلا حرج ومن استجمر فليوتر من فعل فقد احسن ومن لا فلا حرج ومن اكل فما تخلل فليلفظ وما لاك بلسانه فليبتلع من فعل فقد احسن ومن لا فلا حرج ومن اتى الغايط فليستتر فان لم يجد الا ان يجمع كثيبا من رمل فليستدبره فان الشيطان يلعب بمقاعد بني ادم من فعل فقد احسن ومن لا فلا حرج "" . قال ابو داود رواه ابو عاصم عن ثور قال حصين الحميري ورواه عبد الملك بن الصباح عن ثور فقال ابو سعيد الخير . قال ابو داود ابو سعيد الخير هو من اصحاب النبي صلى الله عليه وسلم",1,35,Daif,Daif,Daif,Daif
36,36,"حدثنا يزيد بن خالد بن عبد الله بن موهب الهمداني، حدثنا المفضل، - يعني ابن فضالة المصري - عن عياش بن عباس القتباني، ان شييم بن بيتان، اخبره عن شيبان القتباني، قال ان مسلمة بن مخلد استعمل رويفع بن ثابت، على اسفل الارض . قال شيبان فسرنا معه من كوم شريك الى علقماء او من علقماء الى كوم شريك - يريد علقام - فقال رويفع ان كان احدنا في زمن رسول الله صلى الله عليه وسلم لياخذ نضو اخيه على ان له النصف مما يغنم ولنا النصف وان كان احدنا ليطير له النصل والريش وللاخر القدح . ثم قال قال لي رسول الله صلى الله عليه وسلم "" يا رويفع لعل الحياة ستطول بك بعدي فاخبر الناس انه من عقد لحيته او تقلد وترا او استنجى برجيع دابة او عظم فان محمدا صلى الله عليه وسلم منه بريء",1,36,Sahih,Sahih,,Sahih
37,37,حدثنا يزيد بن خالد، حدثنا مفضل، عن عياش، ان شييم بن بيتان، اخبره بهذا الحديث، ايضا عن ابي سالم الجيشاني، عن عبد الله بن عمرو، يذكر ذلك وهو معه مرابط بحصن باب اليون . قال ابو داود حصن اليون على جبل بالفسطاط . قال ابو داود وهو شيبان بن امية يكنى ابا حذيفة,1,37,Sahih,Sahih,,Isnaad Sahih
38,38,حدثنا احمد بن محمد بن حنبل، حدثنا روح بن عبادة، حدثنا زكريا بن اسحاق، حدثنا ابو الزبير، انه سمع جابر بن عبد الله، يقول نهانا رسول الله صلى الله عليه وسلم ان نتمسح بعظم او بعر,1,38,Sahih,Sahih,,Sahih Muslim (263)
39,39,حدثنا حيوة بن شريح الحمصي، حدثنا ابن عياش، عن يحيى بن ابي عمرو السيباني، عن عبد الله بن الديلمي، عن عبد الله بن مسعود، قال قدم وفد الجن على رسول الله صلى الله عليه وسلم فقالوا يا محمد انه امتك ان يستنجوا بعظم او روثة او حممة فان الله تعالى جعل لنا فيها رزقا . قال فنهى النبي صلى الله عليه وسلم عن ذلك,1,39,Sahih,Sahih,,Isnaad Hasan
40,40,"حدثنا سعيد بن منصور، وقتيبة بن سعيد، قالا حدثنا يعقوب بن عبد الرحمن، عن ابي حازم، عن مسلم بن قرط، عن عروة، عن عايشة، ان رسول الله صلى الله عليه وسلم قال "" اذا ذهب احدكم الى الغايط فليذهب معه بثلاثة احجار يستطيب بهن فانها تجزي عنه",1,40,Hasan,Hasan,,Isnaad Hasan
41,41,"حدثنا عبد الله بن محمد النفيلي، حدثنا ابو معاوية، عن هشام بن عروة، عن عمرو بن خزيمة، عن عمارة بن خزيمة، عن خزيمة بن ثابت، قال سيل رسول الله صلى الله عليه وسلم عن الاستطابة فقال "" بثلاثة احجار ليس فيها رجيع "" . قال ابو داود كذا رواه ابو اسامة وابن نمير عن هشام يعني ابن عروة",1,41,Sahih,Sahih,,Daif
42,42,"حدثنا قتيبة بن سعيد، وخلف بن هشام المقري، قالا حدثنا عبد الله بن يحيى التوام، ح وحدثنا عمرو بن عون، قال اخبرنا ابو يعقوب التوام، عن عبد الله بن ابي مليكة، عن امه، عن عايشة، قالت بال رسول الله صلى الله عليه وسلم فقام عمر خلفه بكوز من ماء فقال "" ما هذا يا عمر "" . فقال هذا ماء تتوضا به . قال "" ما امرت كلما بلت ان اتوضا ولو فعلت لكانت سنة",1,42,Daif,Daif,,Daif
43,43,حدثنا وهب بن بقية، عن خالد، - يعني الواسطي - عن خالد، - يعني الحذاء - عن عطاء بن ابي ميمونة، عن انس بن مالك، ان رسول الله صلى الله عليه وسلم دخل حايطا ومعه غلام معه ميضاة وهو اصغرنا فوضعها عند السدرة فقضى حاجته فخرج علينا وقد استنجى بالماء,1,43,Sahih,Sahih,Sahih,Sahih Bukhari (152) Sahih Muslim (270)
44,44,"حدثنا محمد بن العلاء، اخبرنا معاوية بن هشام، عن يونس بن الحارث، عن ابراهيم بن ابي ميمونة، عن ابي صالح، عن ابي هريرة، عن النبي صلى الله عليه وسلم قال "" نزلت هذه الاية في اهل قباء { فيه رجال يحبون ان يتطهروا } قال كانوا يستنجون بالماء فنزلت فيهم هذه الاية",1,44,Sahih,Sahih,Hasan Lighairihi,Hasan
45,45,حدثنا ابراهيم بن خالد، حدثنا اسود بن عامر، حدثنا شريك، وهذا، لفظه ح وحدثنا محمد بن عبد الله، - يعني المخرمي - حدثنا وكيع، عن شريك، عن ابراهيم بن جرير، عن المغيرة، عن ابي زرعة، عن ابي هريرة، قال كان النبي صلى الله عليه وسلم اذا اتى الخلاء اتيته بماء في تور او ركوة فاستنجى . قال ابو داود في حديث وكيع ثم مسح يده على الارض ثم اتيته باناء اخر فتوضا . قال ابو داود وحديث الاسود بن عامر اتم,1,45,Hasan,Hasan,Hasan Lighairihi,Isnaad Hasan
46,46,"حدثنا قتيبة بن سعيد، عن سفيان، عن ابي الزناد، عن الاعرج، عن ابي هريرة، يرفعه قال "" لولا ان اشق، على المومنين لامرتهم بتاخير العشاء وبالسواك عند كل صلاة",1,46,Sahih,Sahih,Sahih,Sahih Bukhari (887، 7240) Sahih Muslim (252)
47,47,"حدثنا ابراهيم بن موسى، اخبرنا عيسى بن يونس، حدثنا محمد بن اسحاق، عن محمد بن ابراهيم التيمي، عن ابي سلمة بن عبد الرحمن، عن زيد بن خالد الجهني، قال سمعت رسول الله صلى الله عليه وسلم يقول "" لولا ان اشق على امتي لامرتهم بالسواك عند كل صلاة "" . قال ابو سلمة فرايت زيدا يجلس في المسجد وان السواك من اذنه موضع القلم من اذن الكاتب فكلما قام الى الصلاة استاك",1,47,Sahih,Sahih,Sahih,Daif
48,48,حدثنا محمد بن عوف الطايي، حدثنا احمد بن خالد، حدثنا محمد بن اسحاق، عن محمد بن يحيى بن حبان، عن عبد الله بن عبد الله بن عمر، قال قلت ارايت توضو ابن عمر لكل صلاة طاهرا وغير طاهر عم ذاك فقال حدثتنيه اسماء بنت زيد بن الخطاب ان عبد الله بن حنظلة بن ابي عامر حدثها ان رسول الله صلى الله عليه وسلم امر بالوضوء لكل صلاة طاهرا وغير طاهر فلما شق ذلك عليه امر بالسواك لكل صلاة فكان ابن عمر يرى ان به قوة فكان لا يدع الوضوء لكل صلاة . قال ابو داود ابراهيم بن سعد رواه عن محمد بن اسحاق قال عبيد الله بن عبد الله,1,48,Hasan,Hasan,Hasan,Isnaad Hasan
49,49,"حدثنا مسدد، وسليمان بن داود العتكي، قالا حدثنا حماد بن زيد، عن غيلان بن جرير، عن ابي بردة، عن ابيه، قال مسدد قال اتينا رسول الله صلى الله عليه وسلم نستحمله فرايته يستاك على لسانه - قال ابو داود وقال سليمان قال دخلت على النبي صلى الله عليه وسلم وهو يستاك وقد وضع السواك على طرف لسانه - وهو يقول "" اه اه "" . يعني يتهوع . قال ابو داود قال مسدد فكان حديثا طويلا اختصرته",1,49,Sahih,Sahih,Sahih,Sahih Bukhari (244) Sahih Muslim (254)
50,50,"حدثنا محمد بن عيسى، حدثنا عنبسة بن عبد الواحد، عن هشام بن عروة، عن ابيه، عن عايشة، قالت كان رسول الله صلى الله عليه وسلم يستن وعنده رجلان احدهما اكبر من الاخر فاوحي اليه في فضل السواك "" ان كبر "" . اعط السواك اكبرهما . قال احمد - هو ابن حزم - قال لنا ابو سعيد هو ابن الاعرابي هذا مما تفرد به اهل المدينة",1,50,Sahih,Sahih,Sahih,Isnaad Sahih
51,51,حدثنا ابراهيم بن موسى الرازي، اخبرنا عيسى بن يونس، عن مسعر، عن المقدام بن شريح، عن ابيه، قال قلت لعايشة باى شىء كان يبدا رسول الله صلى الله عليه وسلم اذا دخل بيته قالت بالسواك,1,51,Sahih,Sahih,Sahih,Sahih Muslim (253)
52,52,حدثنا محمد بن بشار، حدثنا محمد بن عبد الله الانصاري، حدثنا عنبسة بن سعيد الكوفي الحاسب، حدثني كثير، عن عايشة، انها قالت كان نبي الله صلى الله عليه وسلم يستاك فيعطيني السواك لاغسله فابدا به فاستاك ثم اغسله وادفعه اليه,1,52,Hasan,Hasan,Hasan,Isnaad Hasan
53,53,"حدثنا يحيى بن معين، حدثنا وكيع، عن زكريا بن ابي زايدة، عن مصعب بن شيبة، عن طلق بن حبيب، عن ابن الزبير، عن عايشة، قالت قال رسول الله صلى الله عليه وسلم "" عشر من الفطرة قص الشارب واعفاء اللحية والسواك والاستنشاق بالماء وقص الاظفار وغسل البراجم ونتف الابط وحلق العانة وانتقاص الماء "" . يعني الاستنجاء بالماء . قال زكريا قال مصعب ونسيت العاشرة الا ان تكون المضمضة",1,53,Hasan,Sahih,,
54,54,"حدثنا موسى بن اسماعيل، وداود بن شبيب، قالا حدثنا حماد، عن علي بن زيد، عن سلمة بن محمد بن عمار بن ياسر، قال موسى عن ابيه، - وقال داود عن عمار بن ياسر، - ان رسول الله صلى الله عليه وسلم قال "" ان من الفطرة المضمضة والاستنشاق "" . فذكر نحوه ولم يذكر اعفاء اللحية وزاد "" والختان "" . قال "" والانتضاح "" . ولم يذكر "" انتقاص الماء "" . يعني الاستنجاء . قال ابو داود وروي نحوه عن ابن عباس وقال خمس كلها في الراس وذكر فيها الفرق ولم يذكر اعفاء اللحية . قال ابو داود وروي نحو حديث حماد عن طلق بن حبيب ومجاهد وعن بكر بن عبد الله المزني قولهم ولم يذكروا اعفاء اللحية . وفي حديث محمد بن عبد الله بن ابي مريم عن ابي سلمة عن ابي هريرة عن النبي صلى الله عليه وسلم فيه واعفاء اللحية وعن ابراهيم النخعي نحوه وذكر اعفاء اللحية والختان",1,54,Sahih Muquf,,,Daif
55,55,حدثنا محمد بن كثير، حدثنا سفيان، عن منصور، وحصين، عن ابي وايل، عن حذيفة، ان رسول الله صلى الله عليه وسلم كان اذا قام من الليل يشوص فاه بالسواك,1,55,Sahih,Sahih,Sahih,Sahih Bukhari (245، 889) Sahih Muslim (255)
56,56,حدثنا موسى بن اسماعيل، حدثنا حماد، اخبرنا بهز بن حكيم، عن زرارة بن اوفى، عن سعد بن هشام، عن عايشة، ان النبي صلى الله عليه وسلم كان يوضع له وضوءه وسواكه فاذا قام من الليل تخلى ثم استاك,1,56,Sahih,Sahih,Sahih,Isnaad Hasan
57,57,حدثنا محمد بن كثير، حدثنا همام، عن علي بن زيد، عن ام محمد، عن عايشة، ان النبي صلى الله عليه وسلم كان لا يرقد من ليل ولا نهار فيستيقظ الا تسوك قبل ان يتوضا,1,57,Hasan,Hasan,Hasan Lighairihi,Daif
58,58,حدثنا محمد بن عيسى، حدثنا هشيم، اخبرنا حصين، عن حبيب بن ابي ثابت، عن محمد بن علي بن عبد الله بن عباس، عن ابيه، عن جده عبد الله بن عباس، قال بت ليلة عند النبي صلى الله عليه وسلم فلما استيقظ من منامه اتى طهوره فاخذ سواكه فاستاك ثم تلا هذه الايات { ان في خلق السموات والارض واختلاف الليل والنهار لايات لاولي الالباب } حتى قارب ان يختم السورة او ختمها ثم توضا فاتى مصلاه فصلى ركعتين ثم رجع الى فراشه فنام ما شاء الله ثم استيقظ ففعل مثل ذلك ثم رجع الى فراشه فنام ثم استيقظ ففعل مثل ذلك ثم رجع الى فراشه فنام ثم استيقظ ففعل مثل ذلك كل ذلك يستاك ويصلي ركعتين ثم اوتر . قال ابو داود رواه ابن فضيل عن حصين قال فتسوك وتوضا وهو يقول { ان في خلق السموات والارض } حتى ختم السورة,1,58,Sahih,Sahih,Sahih,Sahih Muslim (763)
59,59,"حدثنا مسلم بن ابراهيم، حدثنا شعبة، عن قتادة، عن ابي المليح، عن ابيه، عن النبي صلى الله عليه وسلم قال "" لا يقبل الله عز وجل صدقة من غلول ولا صلاة بغير طهور",1,59,Sahih,Sahih,Sahih,Isnaad Sahih
60,60,"حدثنا احمد بن محمد بن حنبل، حدثنا عبد الرزاق، اخبرنا معمر، عن همام بن منبه، عن ابي هريرة، قال قال رسول الله صلى الله عليه وسلم "" لا يقبل الله صلاة احدكم اذا احدث حتى يتوضا",1,60,Sahih,Sahih,Sahih,Sahih Bukhari (135) Sahih Muslim (225)
61,61,"حدثنا عثمان بن ابي شيبة، حدثنا وكيع، عن سفيان، عن ابن عقيل، عن محمد ابن الحنفية، عن علي، رضى الله عنه قال قال رسول الله صلى الله عليه وسلم "" مفتاح الصلاة الطهور وتحريمها التكبير وتحليلها التسليم",1,61,Hasan Sahih,Hasan Sahih,,Hasan
