hadithnumber,text,book,hadith,arabicnumber
115,"D'après Ibn 'Abbâs (رضي الله عنهما) : Une députation des 'Abd Al-Qays vint trouver le Prophète (paix et bénédiction de Dieu sur lui). Les députés dirent : ""Ô Messager de Dieu! Nous sommes les gens de Rabî'a. Il nous est impossible de venir vers toi excepté durant les Mois Sacrés à cause de cette tribu mécréante de Mudar. qui s'interposait entre vous et nous. Signalez-nous donc quelques prescriptions pour que nous les suivrons et les prêcherons chez nous (à notre retour)"". Le Prophète répondit : ""Je vous prescrivis quatre choses et vous interdis quatre autres. Je vous enjoignis de croire en Dieu, -il explicita ceci en disant- Cela consiste à déclarer qu'il n'y a d'autre divinité que Dieu et que Muhammad est l'Envoyé de Dieu"". Il leur ordonna ensuite de pratiquer la prière, de s'acquitter de l'aumône légale (Az-Zakâ) et de payer le cinquième du butin. Il leur interdit l'usage de la calebasse, du hantam (récipient fait de la boue, du poil et du sang), de l'auge (naqîr, tronc de palmier creusé en tonneau) et de muqayyar (récipient enduit de résine). (N.B : Ces ustensiles étaient destinés à y fermenter les boissons enivrantes). Ordre d'attester qu'il n'y a d'autre divinité que Dieu et que Muhammad est l'Envoyé de Dieu",1,23,17.01
116,,1,24,17.02
117,,1,25,17.03
118,,1,26,18.01
119,,1,27,18.02
120,,1,28,18.03
121,"D'après Mou'âdh Ibn Jabal (que Dieu l'agrée), l'Envoyé de Dieu (paix et bénédiction de Dieu sur lui) me chargea d'une mission au Yémen. (Avant de partir), il me dit : ""Tu iras chez des gens du Livre. Quand tu seras parmi eux, invite-les à attester qu'il n'y a d'autre divinité que Dieu, et que Muhammad est l'Envoyé de Dieu. S'ils se conforment à cette invitation, informe-les que Dieu leur prescrit cinq prières à accomplir le jour et la nuit. S'ils y consentent, informe-les que Dieu leur prescrit une aumône qui sera perçue sur les riches parmi eux pour être dépensée aux pauvres parmi eux. S'ils se soumettent à tout cela, garde-toi de toucher à leurs biens précieux et redoute la plainte de l'opprimé, car rien ne s'interpose entre Dieu et elle"". Ordre de combattre les gens jusqu'à ce qu'ils témoignent qu'il n'y a d'autre divinité que Dieu et que Muhammad est l'Envoyé de Dieu d'accomplir les prières, de verser l'aumône légale, de croire à l'ensemble de la mission prophétique. Celui qui se plie à ces règles mettra à l'abri son âme et ses biens. Ce que cachera son cœur sera une affaire à régler devant Dieu, l'Exalté. Ordre de combattre ceux qui négligent l'aumône légale ou autre droit islamique. L'imam se préoccupe des rites de l'Islam",1,29,19.01
122,,1,30,19.02
123,,1,31,19.03
124,"Abou Hourayra (que Dieu l'agrée) a dit : A la mort de l'Envoyé de Dieu (paix et bénédiction de Dieu sur lui), quand Abou Bakr fut investi du califat et qu'un certain nombre d'Arabes renièrent leur foi, dit à Abou Bakr : ""Comment vas-tu les combattre alors que l'Envoyé de Dieu (le Très-Haut) a dit : J'ai reçu l'ordre de combattre les idolâtres jusqu'à ce qu'ils confessent qu'il n'y a d'autre divinité que Dieu. Celui qui témoigne de l'unicité de Dieu, rends sa vie et ses biens inviolables, sauf au cas où il serait jugé coupable et c'est à Dieu qu'il appartiendra de régler son compte"". Abou Bakr répondit : ""Par Dieu! Je combattrai quiconque fait de distinction entre la prière et l'aumône légale (Az-Zakâ); car celle-ci est le dû des biens (c.-à-d. le droit de Dieu sur nos biens comme la prière et le jeûne sont le droit de Dieu sur notre corps). Par Dieu! S'ils me refusent un licou qu'ils livraient en impôt à l'Envoyé de Dieu (paix et bénédiction de Dieu sur lui), je les combattrai pour ce refus",1,32,20
125,,1,33,21.01
126,,1,34,21.02
127,"D'après Abou Hourayra (que Dieu l'agrée), l'Envoyé de Dieu (paix et bénédiction de Dieu sur lui) a dit : ""J'ai reçu l'ordre de combattre les idolâtres jusqu'à ce qu'ils confessent qu'il n'y a d'autre divinité que Dieu. Celui qui le confesse n'a rien à craindre de moi : sa vie et ses biens resteront inviolables, sauf au cas où il serait accusé par la loi, et c'est Dieu qui se chargera de régler son compte",1,35,21.03
128,,0,0,
129,"D'après Abdoullâh Ibn 'Omar (رضي الله عنهما), l'Envoyé de Dieu (paix et bénédiction de Dieu sur lui) a dit : ""J'ai reçu l'ordre de combattre les idolâtres sans relâche jusqu'à ce qu'ils professent qu'il n'y a d'autre divinité que Dieu et que Muhammad est l'Envoyé de Dieu; qu'ils accomplissent la prière et qu'ils payent l'aumône légale (Az-Zakâ). S'ils le font, leurs vies et leurs biens me seront inviolables, sauf au cas où ils seraient condamnés par la loi et c'est Dieu qui se chargera de régler leurs comptes"". Validité de l'Islam du moribond s'il n'est pas encore à l'article de la mort. Abrogation de la permission de demander pardon en faveur des polythéistes et preuve que celui qui meurt polythéiste sera un damné et ne pourra jamais être racheté",1,36,22
130,,1,37,23.01
131,,1,38,23.02
132,"Al-Musayyab Ibn Hazn (que Dieu l'agrée) a dit : Au moment où Abou Tâlib était à l'article de la mort, l'Envoyé de Dieu (paix et bénédiction de Dieu sur lui) vint le voir et trouva chez lui Abou Jahl et 'Abdallâh Ibn 'Abî 'Umayya Ibn Al-Mughîra. L'Envoyé de Dieu s'adressa à Abou Tâlib en disant : ""Ô mon oncle, Atteste qu'il n'y a d'autre divinité que Dieu. C'est là un mot dont je serai témoin en ta faveur auprès de Dieu"". Aussitôt Abou Jahl et 'Abdallâh Ibn 'Abî 'Umayya s'écrièrent : ""Ô Abou Tâlib Vas-tu renier la foi de 'Abd Al-Muttalib?"" L'Envoyé de Dieu ne cessa de lui proposer de prononcer la profession de foi en répétant les mêmes mots, (tandis que les deux autres lui répétaient les mêmes propos). Mais, les dernières paroles de Abou Tâlib furent qu'il persistait dans la foi de 'Abd Al-Muttalib en refusant d'attester qu'il n'y a d'autre divinité que Dieu. - ""Par Dieu!, s'écria l'Envoyé de Dieu (paix et bénédiction de Dieu sur lui), je demanderai à Dieu de te pardonner, tant que cela ne me soit pas défendu"". Ce fut à cette occasion que Dieu, le Très-Haut, révéla ce verset : Il n'appartient pas au Prophète et aux Croyants d'implorer le pardon en faveur des polythéistes, fussent-ils des parents alors qu'il leur est apparu clairement que ce sont les gens de l'Enfer. Ensuite, Dieu, le Très-Haut, révéla au sujet de Abou Tâlib, en s'adressant à l'Envoyé de Dieu ce verset : Tu (Muhammad) ne diriges pas celui que tu aimes : mais c'est Dieu qui guide qui Il veut. Il connaît mieux cependant les bien-guidés. Celui qui témoigne de l'unicité de Dieu et meurt sur cet état, entrera assurément au Paradis",1,39,24.01
133,,1,40,24.02
134,,1,41,25.01
135,,1,42,25.02
136,,1,43,26.01
137,,1,44,26.02
138,,1,45,27.01
139,,1,46,27.02
140,"D'après 'Oubâda Ibn Sâmit (que Dieu l'agrée), le Prophète (paix et bénédiction de Dieu sur lui) a dit : ""Quiconque témoigne qu'il n'y d'autre divinité que Dieu, l'Unique qui n'a point d'associés; que Muhammad est son Adorateur et son Envoyé; que Jésus ('Isa) est l'adorateur de Dieu, fils de Son adoratrice, Sa parole qu'Il envoya à Marie et Son esprit; et que le Paradis est vrai et que l'Enfer est vrai, Dieu le fera accéder, à volonté, au Paradis par n'importe laquelle de ces huit portes",1,47,28.01
141,,1,48,28.02
142,,1,49,29
143,"Mou'âdh Ibn Jabal (que Dieu l'agrée) a dit : Un jour que j'étais en croupe derrière le Prophète (paix et bénédiction de Dieu sur lui), séparé de lui seulement par l'extrémité du bât, il me dit : ""Hé! Mou'âdh!"". - ""Ô Envoyé de Dieu! A votre service! A vos ordres!"". Après que nous avançâmes un instant, il m'appellera de nouveau : ""Hé! Mou'âdh!"". - ""Ô Envoyé de Dieu! A votre service! A vos ordres!"". Nous marchâmes encore un instant et le voilà qu'il me répéta à nouveau : ""Hé! Mou'âdh!"". - ""Ô Envoyé de Dieu! A votre service! A vos ordres!!"" - ""Connais-tu, reprit-il, les droits de Dieu sur Ses adorateurs?"". - ""Dieu et Son envoyé le savent mieux que personne"", dis-je. - ""Les droits de Dieu sur les adorateurs, dit-il, c'est qu'ils L'adorent sans Lui rien associer"". Nous poursuivâmes la marche encore un instant, puis il me dit : ""Hé! Mou'âdh!"" - ""Ô Envoyé de Dieu! A votre service! A vos ordres!"". - ""Connais-tu ce que Dieu devra aux hommes s'ils agissent de la sorte?"". - ""Dieu et Son envoyé le savent mieux que personne"", répondis-je. Et lui d'ajouter : ""C'est de ne les châtier pas",1,50,30.01
144,,1,51,30.02
145,,1,52,30.03
146,,1,53,30.04
147,,1,54,31
148,,1,55,32
149,,1,56,33.01
150,,1,57,33.02
151,,1,58,34
152,,1,59,35.01
153,,1,60,35.02
154,"D'après Ibn 'Omar (رضي الله عنهما), le Prophète (paix et bénédiction de Dieu sur lui), ayant un jour entendu un homme en train de prêcher la pudeur à son coreligionnaire, il dit : ""La pudeur fait partie de la foi",1,61,36.01
155,,1,62,36.02
156,"Selon 'Imrân Ibn Husayn (que Dieu l'agrée), le Prophète (paix et bénédiction de Dieu sur lui) a dit : ""La pudeur n'emporte que le bien"". Les meilleurs des actes en Islam",1,64,37.02
157,,1,65,37.03
158,,1,63,37.01
159,,1,66,38
160,"Selon 'Abdoullâh Ibn 'Amr (que Dieu l'agrée), un homme ayant demandé au Prophète (paix et bénédiction de Dieu sur lui) quel était le meilleur Islam, celui-ci répondit : ""Donne à manger et salue ceux que tu connais et ceux que tu ne connais pas",1,67,39
161,,1,68,40
162,,1,69,41
163,,1,70,42.01
164,,1,71,42.02
165,,1,72,43.01
166,,1,73,43.02
167,,1,74,43.03
168,,1,75,44.01
169,,1,76,44.02
170,"Selon Anas Ibn Mâlik (que Dieu l'agrée), le Prophète (paix et bénédiction de Dieu sur lui) a dit : ""Aucun de vous n'aura vraiment la foi que s'il ne désire pour son coreligionnaire (ou pour son voisin) ce qu'il désire pour lui-même"". Incitation à honorer le voisin et l'hôte, et à contenir sa langue à moins qu'il ne soit pour le bien. Ceci fait partie de la foi",1,77,45.01
171,,1,78,45.02
172,,1,79,46
173,,1,80,47.01
174,,1,81,47.02
175,,1,82,47.03
176,,1,83,48
177,"D'après Abou Sa'îd Al-Khoudri (que Dieu l'agrée) : Târiq Ibn Chihâb transmet que Marwân fut le premier à faire devancer la prière au jour de la fête par le prône. Un homme intervint à l'instant et lui dit : ""La prière doit se faire avant le prône (selon la pratique du Prophète)!"". - ""Ceci n'est plus"", répondit Marwân. Abou Sa'îd dit alors : Cet homme a ainsi rempli son devoir. J'ai entendu le Prophète (paix et bénédiction de Dieu sur lui) dire : ""Celui d'entre vous qui assiste à quelque action blâmable, qu'il intervienne pour la changer de sa main; sinon, de sa langue; sinon, de son cœur, et c'est là la plus faible manifestation de la foi"". Superposition des degrés des Croyants. Les gens du Yémen sont les plus voués à la foi",1,84,49.01
178,,1,85,49.02
179,,1,86,50.01
180,,1,87,50.02
181,"Abou Mas'ûd 'Uqba Ibn 'Amr (que Dieu l'agrée) a dit : Le Prophète (paix et bénédiction de Dieu sur lui), montrant de la main la direction du Yémen, dit : ""La foi réside là-bas! Mais la dureté et la grossièreté des cœurs se trouvent chez ceux qui braillent en conduisant leurs chameaux, et qui habitent là où se lèvent les deux cornes du diable, chez les tribus de Rabî'a et de Mudar",1,88,51
182,,1,89,52.01
183,,1,90,52.02
184,"D'après Abou Hourayra (que Dieu l'agrée), l'Envoyé de Dieu (paix et bénédiction de Dieu sur lui) a dit : ""Vous avez reçu la visite des gens du Yémen qui ont les cœurs les plus tendres. La foi, la jurisprudence et la sagesse sont toutes yéménites"". La religion comporte le bon conseil",1,91,52.03
185,,1,92,52.04
186,,1,93,52.05
187,,1,94,52.06
188,,1,95,52.07
189,,1,96,52.08
190,,1,97,52.09
191,,1,98,52.10
192,,1,99,52.11
193,,1,100,53
194,,1,101,54.01
195,,1,102,54.02
196,,1,103,55.01
197,,1,104,55.02
198,,1,105,55.03
199,,1,106,56.01
200,,1,107,56.02
201,,1,108,56.03
202,,1,109,57.01
203,,1,110,57.02
204,,1,111,57.03
205,,1,112,57.04
206,,1,113,57.05
207,"Selon Abou Hourayra (que Dieu l'agrée), le Prophète (paix et bénédiction de Dieu sur lui) a dit : ""Le fornicateur ne reste pas Croyant au moment où il fornique, le voleur ne reste pas Croyant au moment où il vole, le buveur ne reste pas Croyant au moment où il consomme l'alcool"". Signes distinctifs de l'hypocrite",1,114,57.06
208,,1,115,57.07
209,,0,0,
210,"Selon 'Abdoullâh Ibn 'Amr (رضي الله عنهما) rapporte que le Prophète (paix et bénédiction de Dieu sur lui) a dit : ""Il est quatre défauts qui lorsqu'ils entachent quelqu'un, le rendent un parfait hypocrite. Celui qui en possède un, est atteint d'une des caractéristiques de l'hypocrisie, à moins qu'il ne s'en débarrasse, à savoir : Tenir des propos mensongers; trahir ses serments; manquer à ses promesses et être de mauvaise foi au cours des disputes",1,116,58
211,,1,117,59.01
212,,1,118,59.02
213,,1,119,59.03
214,,1,120,59.04
215,,1,121,60.01
216,,1,122,60.02
217,"Abou Dharr (que Dieu l'agrée) a entendu le Prophète (paix et bénédiction de Dieu sur lui) dire : ""Tout homme qui prétend sciemment être issu d'un autre père que le sien sera (considéré comme un) mécréant. Quant à celui qui prétend la possession de ce qui ne lui appartient pas, il n'est point des nôtres et qu'il aille chercher sa place en Enfer. Celui qui accuse faussement un homme d'incrédulité ou le qualifie d'être l'ennemi de Dieu, ceci ne manque de tourner contre lui",1,123,61
218,"Selon Abou Hourayra (que Dieu l'agrée), le Prophète (paix et bénédiction de Dieu sur lui) a dit : ""Ne désavouez pas vos pères (par mépris pour votre lignage). Celui qui le fait sera (considéré comme un) mécréant",1,124,62
219,"Sa'd Ibn Abi Waqqâs (que Dieu l'agrée) a entendu le Prophète (paix et bénédiction de Dieu sur lui) dire : ""Le Paradis sera interdit à tout musulman qui prétend sciemment être issu d'un autre père que le sien"". A propos des paroles du Prophète : ""Injurier un musulman c'est faire acte d'impiété; le combattre, c'est faire acte de perversité",1,125,63.01
220,,1,126,63.02
221,,1,127,64.01
222,,1,128,64.02
223,"Jarîr (que Dieu l'agrée) a dit : Au cours du Hajj d'adieu, le Prophète (paix et bénédiction de Dieu sur lui) m'ordonna de demander aux gens de lui prêter une oreille attentive, puis il s'adressa à eux en disant : ""Gardez-vous, après ma mort, de renier votre foi et de vous entre-tuer"". Incrédulité de celui qui dit : ""Nous avons reçu de la pluie grâce à telle étoile",1,129,65
224,,1,130,66.01
225,,1,131,66.02
226,,1,132,66.03
227,,1,133,67
228,,1,134,68
229,,1,135,69
230,,1,136,70
231,"Zayd Ibn Khâlid Al-Juhanî (que Dieu l'agrée) a dit : L'Envoyé de Dieu (paix et bénédiction de Dieu sur lui) nous guida pendant la prière de subh (du matin) à Al-Hudaybiya, à la suite d'une pluie qui était tombée pendant la nuit. Quand le Prophète eut terminé la prière, il se tourna vers les fidèles et dit : ""Savez-vous ce qu'a dit votre Seigneur?"". - ""Dieu et son Envoyé en sont les plus informés"", répondirent-ils. - Ce matin, Dieu a dit, répliqua le Prophète, il y a parmi Mes adorateurs qui ont cru en Moi et d'autres qui n'y ont pas cru. Ceux qui ont dit : ""Nous avons reçu la pluie par la grâce de Dieu et Sa bénédiction"" ont cru en Moi et n'ont pas cru aux étoiles. Mais ceux qui ont dit que c'était grâce à telle ou telle étoile (auxquelles les Arabes attribuaient la chute des pluies avant l'Islam), n'avaient pas cru en Moi et avaient cru aux étoiles. Le fait d'aimer les 'Ansâr (Auxiliaires du Prophète) est un signe de la foi, et les haïr est une marque de l'hypocrisie",1,137,71
232,,1,138,72.01
233,,1,139,72.02
234,,1,140,73
235,,1,141,74.01
236,"Selon Anas (que Dieu l'agrée), le Prophète (paix et bénédiction de Dieu sur lui) a dit : ""Haïr les 'Ansâr, c'est le signe de l'hypocrisie; aimer les 'Ansâr, c'est le signe de la foi",1,142,74.02
237,"Al-Barâ (que Dieu l'agrée) a dit : Le Prophète (paix et bénédiction de Dieu sur lui) a dit à propos des 'Ansâr : ""Seul le Croyant les aime et seul l'hypocrite les hait. Dieu aime ceux qui les aiment; et hait ceux qui les haïssent "". La diminution des actes d'obéissance diminue la foi. Emploi des expressions : ""incroyance aux bienfaits (ingratitude)"" et ""incroyance aux droits (manque de reconnaissance)",1,143,75
238,,1,144,76
239,,1,145,77
240,,1,146,78
241,"D'après Abdoullâh Ibn 'Omar (رضي الله عنهما), l'Envoyé de Dieu (paix et bénédiction de Dieu sur lui) a dit : ""Ô femmes! Faites l'aumône et sollicitez plus fréquemment le pardon de Dieu, car je vous ai vu former la majorité des réprouvés de l'Enfer"". Une femme -parmi elles ayant l'esprit judicieux- s'exclama : ""Et pourquoi cela, ô Envoyé de Dieu?"". - ""C'est, répondit-il, que vous multipliez vos malédictions et vous êtes ingrates envers vos époux. Je n'ai vu parmi les êtres faibles en intelligence et en religion personne qui, mieux que l'une de vous, fasse perdre l'esprit à un homme sensé"". - ""En quoi, reprit-elle, ô Envoyé de Dieu, consiste le défaut de notre intelligence et de notre religion?"". - ""Le témoignage de deux femmes équivaut à celui d'un homme... Voilà pour le défaut de l'intelligence, répliqua le Prophète, et quand elles ont leurs menstrues, les femmes ne cessent-elles pas de prier et de jeûner des nuits durant?... Eh bien! Voilà pour celui de la religion"". La croyance en Dieu le Très-Haut est le meilleur acte",1,147,79.01
242,,1,148,79.02
243,,1,149,80.01
244,,1,151,81.01
245,,1,152,81.02
246,,1,153,82.01
247,,1,154,82.02
248,,0,0,
249,,1,155,83
250,"Abou Dharr (que Dieu l'agrée) a dit : Je demandai au Prophète (paix et bénédiction de Dieu sur lui) quelles étaient les œuvres les plus méritoires. ""La foi en Dieu, répondit-il, et le djihad"". - ""Et lequel des esclaves est celui dont l'affranchissement est le plus méritoire?"", lui demandai-je. - ""Celui qui a coûté le plus cher, répondit-il, et auquel son maître tient le plus"". - ""Et si j'en suis incapable?"", repris-je. - ""Alors, répliqua-t-il, aide quelqu'un à accomplir son travail ou travaille pour le compte d'un autre qui ne sait rien faire"". - ""Et si j'en suis incapable?"". - ""Alors tu t'abstiendras de nuire aux gens et ce sera une sorte d'aumône dont tu bénéficieras",1,156,84.01
251,,1,157,84.02
252,,1,158,85.01
253,,1,159,85.02
254,,1,160,85.03
255,,1,161,85.04
256,,1,162,85.05
257,,1,163,86.01
258,,1,164,86.02
259,,1,165,87
260,,1,166,88.01
261,,1,167,88.02
262,"D'après Abou Hourayra (que Dieu l'agrée), le Prophète (paix et bénédiction de Dieu sur lui) a dit : ""Evitez les sept turpitudes!"". - ""Quelles sont-elles, ô Envoyé de Dieu?"", demandèrent les fidèles. - ""Ce sont, répondit-il, le polythéisme, la magie; le meurtre que Dieu a interdit sauf à bon droit; l'usurpation des biens de l'orphelin; l'usure; la fuite du front au jour du djihad et la fausse accusation (de fornication) des femmes vertueuses, chastes et Croyantes",1,168,89
